Sample	Human	Mouse	Xtropicalis	PhiX	Dmelanogaster	Multiple Genomes	No hits
P4107_1001_S1_L002_R1_001_screen	165044.0	28.0	3.0	7.0	1.0	28375.0	6539.0
P4107_1001_S1_L002_R2_001_screen	163874.0	55.0	17.0	6.0	7.0	27359.0	8679.0
P4107_1002_S2_L003_R1_001_screen	165695.0	35.0	5.0	10.0	7.0	28723.0	5519.0
P4107_1002_S2_L003_R2_001_screen	165294.0	61.0	17.0	9.0	1.0	27293.0	7319.0
P4107_1003_S3_L004_R1_001_screen	165313.0	31.0	0.0	7.0	4.0	28757.0	5879.0
P4107_1003_S3_L004_R2_001_screen	164664.0	51.0	9.0	4.0	5.0	27939.0	7319.0
P4107_1004_S4_L005_R1_001_screen	166784.0	27.0	9.0	1.0	3.0	28484.0	4679.0
P4107_1004_S4_L005_R2_001_screen	166784.0	41.0	9.0	1.0	2.0	27311.0	5839.0
P4107_1005_S5_L006_R1_001_screen	166243.0	32.0	3.0	7.0	0.0	28689.0	5040.0
P4107_1005_S5_L006_R2_001_screen	165674.0	46.0	9.0	7.0	4.0	27734.0	6540.0
P4107_1006_S6_L007_R1_001_screen	166360.0	35.0	8.0	5.0	4.0	28586.0	5020.0
P4107_1006_S6_L007_R2_001_screen	165554.0	73.0	19.0	5.0	8.0	27439.0	6920.0
