.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Kmer Content
P4107_1001_S1_L002_R1_001	1	1	0.25	1	0.5	0.5	0.5	1	1	0.5	1	0.25
P4107_1001_S1_L002_R2_001	1	1	0.5	1	0.5	0.5	1	1	1	0.25	1	0.25
P4107_1002_S2_L003_R1_001	1	1	0.25	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1002_S2_L003_R2_001	1	1	0.25	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1003_S3_L004_R1_001	1	1	0.5	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1003_S3_L004_R2_001	1	1	0.5	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1004_S4_L005_R1_001	1	1	0.25	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1004_S4_L005_R2_001	1	1	0.5	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1005_S5_L006_R1_001	1	1	1	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1005_S5_L006_R2_001	1	1	0.5	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1006_S6_L007_R1_001	1	1	0.25	1	0.5	0.5	1	1	1	0.5	1	0.25
P4107_1006_S6_L007_R2_001	1	1	0.5	1	0.5	0.5	1	1	1	0.5	1	0.25
