Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
P4107_1001_S1_L002_R1_001 - illumina_universal_adapter	(1, 3.3890108185463233e-06)	(2, 5.735249077539932e-06)	(3, 8.342180476421718e-06)	(4, 1.0688418735415326e-05)	(5, 1.3295350134297114e-05)	(6, 1.5380895253402544e-05)	(7, 2.241961003038337e-05)	(8, 2.5026541429265155e-05)	(9, 6.804090951081464e-05)	(10, 8.107556650522357e-05)	(12, 0.00012174369632777946)	(14, 0.00020581723394171708)	(16, 0.0003451577172119486)	(18, 0.0005474555937651753)	(20, 0.0008402139898595999)	(22, 0.0012376406816191282)	(24, 0.0017207050698319236)	(26, 0.0022982707212541834)	(28, 0.002995494523885117)	(30, 0.0037558060663689906)	(32, 0.004612443724041546)	(34, 0.005528389071038662)	(36, 0.006506770425038996)	(38, 0.007544068428654059)	(40, 0.008674824922919034)	(42, 0.009815357409929816)	(44, 0.01103214264035789)	(46, 0.012322964722514207)	(48, 0.01361808824147868)	(50, 0.014987509305311283)	(52, 0.01638873493221024)	(54, 0.017836885324289075)	(56, 0.019305760820989018)	(58, 0.02079340622376091)	(60, 0.02235534917140093)	(62, 0.02394648975070843)	(64, 0.02555640023608788)	(66, 0.027184298548119608)	(68, 0.028835268203031447)	(70, 0.03051009128024305)	(72, 0.0322622098734315)	(74, 0.03405317174446329)	(76, 0.03586472837354624)	(78, 0.03778030156544458)	(80, 0.039755703832947256)	(82, 0.04182443424452989)	(84, 0.04397267606377843)	(86, 0.046158588041740806)	(88, 0.048505999419863916)	(90, 0.05100982668191993)	(92, 0.05372442434757553)	(94, 0.056597914481992986)	(96, 0.05966705481789651)	(98, 0.06303833850293045)	(100, 0.0666391624976359)	(102, 0.07054604023857008)	(104, 0.07483744036083935)	(106, 0.07946943607037252)	(108, 0.08450094401678429)	(110, 0.08991006597632412)	(112, 0.0958051199486155)	(114, 0.10213852943562886)	(116, 0.10898641683421154)	(118, 0.11632180040438511)	(120, 0.1240755964640792)	(122, 0.1324336792220341)	(124, 0.1414099957612338)	(126, 0.150874851244584)	(128, 0.1609166206465067)	(130, 0.17157597209682446)	(132, 0.1828124981588547)	(134, 0.1947130096481801)	(136, 0.20735923386415567)	(138, 0.22077241729768224)
P4107_1001_S1_L002_R2_001 - illumina_universal_adapter	(1, 8.08148733653354e-06)	(2, 1.0427725595527147e-05)	(3, 1.3295350134297114e-05)	(4, 1.5902281533178902e-05)	(5, 2.0594758051166116e-05)	(6, 2.4244462009600618e-05)	(7, 3.284733562591052e-05)	(8, 4.014674354277952e-05)	(9, 5.99594221742811e-05)	(10, 9.267641123024753e-05)	(12, 0.00019525916177624584)	(14, 0.0003995122368786339)	(16, 0.0007346332682048875)	(18, 0.001235685483069967)	(20, 0.0019804857837304934)	(22, 0.003134835007155349)	(24, 0.004803531795579581)	(26, 0.007085509195590753)	(28, 0.009690615742493323)	(30, 0.012641401392887618)	(32, 0.016028587359454723)	(34, 0.019570885744255292)	(36, 0.023308443290832113)	(38, 0.02732168383284068)	(40, 0.031781752416617584)	(42, 0.03645545902853285)	(44, 0.04111573994374388)	(46, 0.04603462845372398)	(48, 0.05116598187271294)	(50, 0.05643758820096175)	(52, 0.06181386282487566)	(54, 0.06732804411979042)	(56, 0.07291847815812247)	(58, 0.07869921818857288)	(60, 0.08444632880397773)	(62, 0.09021247001859442)	(64, 0.0959268636449433)	(66, 0.10188005218742974)	(68, 0.10798861384128954)	(70, 0.11410212866480722)	(72, 0.120257354390707)	(74, 0.1264297858638394)	(76, 0.13279447852763934)	(78, 0.13913883712652803)	(80, 0.14542753774005054)	(82, 0.15181308585504155)	(84, 0.1581991553563123)	(86, 0.1645098845401554)	(88, 0.17088787255408963)	(90, 0.17737300544851792)	(92, 0.18393269658095418)	(94, 0.19063355304863994)	(96, 0.1973761204187078)	(98, 0.20439358870478774)	(100, 0.21152159088218025)	(102, 0.21885997242346256)	(104, 0.2265087091477817)	(106, 0.23437721018902663)	(108, 0.24256284443494547)	(110, 0.25102350994344635)	(112, 0.2598684371401424)	(114, 0.26902919407581305)	(116, 0.2785963716165693)	(118, 0.2885969515023897)	(120, 0.2988839028023772)	(122, 0.3097014949886071)	(124, 0.3210743635627989)	(126, 0.33282484615011865)	(128, 0.34504249084411803)	(130, 0.3577604056735628)	(132, 0.370969336031987)	(134, 0.3847120355943322)	(136, 0.39904351061311494)	(138, 0.4140672562648706)
P4107_1002_S2_L003_R1_001 - illumina_universal_adapter	(1, 7.206193205143742e-06)	(2, 8.833398122434264e-06)	(3, 1.2320265802342526e-05)	(4, 1.5574675636923572e-05)	(5, 1.8131711935522962e-05)	(6, 2.278086884206731e-05)	(7, 3.696079740702758e-05)	(8, 4.137749646824471e-05)	(9, 0.00010623323531453839)	(10, 0.0001293627909245965)	(12, 0.00018247940858186573)	(14, 0.0002813902217685967)	(16, 0.00043934532766844105)	(18, 0.0006762198720568756)	(20, 0.0009915489392432462)	(22, 0.0014234556158612163)	(24, 0.0020166880371362754)	(26, 0.0027212677663230713)	(28, 0.003526153055768562)	(30, 0.004417977579366432)	(32, 0.005402785241095189)	(34, 0.006473021160981697)	(36, 0.007615202783996981)	(38, 0.008841766604866044)	(40, 0.010173052685055018)	(42, 0.011588372276329782)	(44, 0.013000669915615291)	(46, 0.014487470294328175)	(48, 0.015998562517877752)	(50, 0.017602521650635552)	(52, 0.019228215591931448)	(54, 0.020915045946548402)	(56, 0.02261814835033826)	(58, 0.024378086697310623)	(60, 0.026158248876826454)	(62, 0.02801070544623905)	(64, 0.02987583096822198)	(66, 0.03175583379230586)	(68, 0.033678260173161945)	(70, 0.03565194350891268)	(72, 0.03768513605306719)	(74, 0.03976679605797242)	(76, 0.04185635962961878)	(78, 0.04403228129080419)	(80, 0.04628596010125157)	(82, 0.048592406842588226)	(84, 0.050981957263629356)	(86, 0.05342427561555976)	(88, 0.0559885181073643)	(90, 0.05863842131517191)	(92, 0.06145894858144971)	(94, 0.0644238321696757)	(96, 0.06753714009214312)	(98, 0.07085036176159196)	(100, 0.07440417730095446)	(102, 0.07821741579570213)	(104, 0.08233749864628173)	(106, 0.08664273417066447)	(108, 0.0911875175046569)	(110, 0.09611492645205794)	(112, 0.10134662271899228)	(114, 0.10695211120121281)	(116, 0.11289977763175499)	(118, 0.11925749970145438)	(120, 0.12610745125863418)	(122, 0.13337582693740294)	(124, 0.14108029353400559)	(126, 0.14915843611697172)	(128, 0.15769207984785655)	(130, 0.16671679077699508)	(132, 0.17619432958883108)	(134, 0.18614712846543857)	(136, 0.1965992467938089)	(138, 0.20773548856097723)
P4107_1002_S2_L003_R2_001 - illumina_universal_adapter	(1, 8.36848243177983e-06)	(2, 1.1622892266360874e-05)	(3, 1.673696486355966e-05)	(4, 2.1386121770104008e-05)	(5, 2.6267736521975574e-05)	(6, 3.347392972711932e-05)	(7, 4.323715923086245e-05)	(8, 4.974597890002454e-05)	(9, 6.764523299022029e-05)	(10, 0.0001103012476077647)	(12, 0.00021897529029823884)	(14, 0.00043876418305512294)	(16, 0.0008047690605228269)	(18, 0.001360575768700204)	(20, 0.0021525596477300337)	(22, 0.0033436736471866963)	(24, 0.005140224104798096)	(26, 0.007514316079124969)	(28, 0.010285678511116055)	(30, 0.013394453505599598)	(32, 0.016961635371068415)	(34, 0.020749303502830094)	(36, 0.024785236613401245)	(38, 0.029152654611409007)	(40, 0.0338722462450875)	(42, 0.038813486434285505)	(44, 0.043852358918520934)	(46, 0.049068712967663686)	(48, 0.05454867421340752)	(50, 0.060239823411631116)	(52, 0.06606719290721647)	(54, 0.07211516489801735)	(56, 0.0782845961130017)	(58, 0.08459082876996113)	(60, 0.09085545147260696)	(62, 0.09717993207042458)	(64, 0.10348523489600268)	(66, 0.1099665083104935)	(68, 0.11658086384143414)	(70, 0.12326623524412225)	(72, 0.13002192514502187)	(74, 0.13689221676366775)	(76, 0.14389442820953685)	(78, 0.15094266630878078)	(80, 0.15797463235885176)	(82, 0.1649451133088337)	(84, 0.1719856802991818)	(86, 0.17898231275676307)	(88, 0.1860134652043754)	(90, 0.1930527536765742)	(92, 0.2001434153325903)	(94, 0.20725790391775245)	(96, 0.2144459654109607)	(98, 0.2217120165112762)	(100, 0.22907139943649057)	(102, 0.23657060575566927)	(104, 0.24431400904136422)	(106, 0.25229242720868494)	(108, 0.260450767748289)	(110, 0.2689214154030901)	(112, 0.27764265261515403)	(114, 0.2864955771965958)	(116, 0.29568324107530874)	(118, 0.30514299686197716)	(120, 0.3149112242093949)	(122, 0.3249758353096047)	(124, 0.33532671824633503)	(126, 0.3458578722421166)	(128, 0.3566935460152769)	(130, 0.36791498358275765)	(132, 0.3795223011734816)	(134, 0.391580354526295)	(136, 0.4040226606974343)	(138, 0.41707051955565105)
P4107_1003_S3_L004_R1_001 - illumina_universal_adapter	(1, 2.086332436210386e-06)	(2, 3.2454060118828224e-06)	(3, 6.490812023765645e-06)	(4, 9.736218035648467e-06)	(5, 1.2749809332396802e-05)	(6, 1.5067956483741675e-05)	(7, 2.4572359804255656e-05)	(8, 2.781776581613848e-05)	(9, 7.649885599438082e-05)	(10, 9.1334997762988e-05)	(12, 0.00012622311239072833)	(14, 0.00020028791387619705)	(16, 0.00031978839952802524)	(18, 0.0004905199372245751)	(20, 0.0007158438403352969)	(22, 0.0010262437439003754)	(24, 0.0014435102311424525)	(26, 0.0019414482392513313)	(28, 0.0024947899642773523)	(30, 0.003123935101152351)	(32, 0.003830506352882268)	(34, 0.004574979310536674)	(36, 0.00536106300955772)	(38, 0.006219241084985593)	(40, 0.0071281865830279175)	(42, 0.008074686064922029)	(44, 0.009074966560727342)	(46, 0.010090778642446665)	(48, 0.011173932898912557)	(50, 0.012280848163679733)	(52, 0.01341430621332981)	(54, 0.014604211146115133)	(56, 0.01582587469487388)	(58, 0.01710769416221003)	(60, 0.018386731852964563)	(62, 0.019710393876382487)	(64, 0.021061873665616543)	(66, 0.022468177634979915)	(68, 0.023910065163116424)	(70, 0.025386493083807974)	(72, 0.02690221359871482)	(74, 0.028465108408151533)	(76, 0.030106704313376406)	(78, 0.03180973111811192)	(80, 0.0335670025661889)	(82, 0.03539996151875729)	(84, 0.0373184601012103)	(86, 0.03935692279874542)	(88, 0.04154154467417283)	(90, 0.043890523182630585)	(92, 0.046383690443902)	(94, 0.049031478120168115)	(96, 0.05193924599945755)	(98, 0.0550543721414348)	(100, 0.05844234420312533)	(102, 0.06218638366726243)	(104, 0.06620663036448228)	(106, 0.07060786454602566)	(108, 0.07529040588438472)	(110, 0.08029366288113238)	(112, 0.08571407045776452)	(114, 0.09156611703397709)	(116, 0.09784505040810981)	(118, 0.10443658592560139)	(120, 0.11150241435025812)	(122, 0.11900614077180391)	(124, 0.12699099863461133)	(126, 0.13542163619462236)	(128, 0.1443769863623403)	(130, 0.15390804837509475)	(132, 0.16388593325127093)	(134, 0.1745314445070344)	(136, 0.18582000978258098)	(138, 0.19767605748077677)
P4107_1003_S3_L004_R2_001 - illumina_universal_adapter	(1, 3.7090354421517968e-06)	(2, 6.490812023765645e-06)	(3, 9.736218035648467e-06)	(4, 1.0895291611320904e-05)	(5, 1.622703005941411e-05)	(6, 1.9008806641027958e-05)	(7, 2.7122321670735013e-05)	(8, 3.4772207270173096e-05)	(9, 4.543568416635951e-05)	(10, 7.719430013978428e-05)	(12, 0.0001569385621460479)	(14, 0.00033891311352662044)	(16, 0.0006170907716880052)	(18, 0.0010443252916808653)	(20, 0.0016499412349697134)	(22, 0.0025681593216174176)	(24, 0.003976549623416995)	(26, 0.0058822983965376155)	(28, 0.008044666059312113)	(30, 0.010507813314973607)	(32, 0.013262235760201586)	(34, 0.016196430517016358)	(36, 0.01926241193938509)	(38, 0.02258362136311689)	(40, 0.0261418613330737)	(42, 0.029867007897927345)	(44, 0.03372695471963169)	(46, 0.037685654609983334)	(48, 0.04187640103018459)	(50, 0.04620299087345466)	(52, 0.05062740652651149)	(54, 0.055198908616321145)	(56, 0.059847141376840315)	(58, 0.06458659322776492)	(60, 0.06933983805424002)	(62, 0.07405819476608737)	(64, 0.07881874175608919)	(66, 0.08373773410388545)	(68, 0.08877124292095814)	(70, 0.09390675021269)	(72, 0.0990881568180185)	(74, 0.10429668574501773)	(76, 0.10971141386112908)	(78, 0.11511663757391992)	(80, 0.12052846800609208)	(82, 0.12594203704862778)	(84, 0.13142491869098866)	(86, 0.13694744064963754)	(88, 0.1426014015517677)	(90, 0.14835457915197542)	(92, 0.15416953537376643)	(94, 0.1601054988768577)	(96, 0.16622158241360846)	(98, 0.1724710753189191)	(100, 0.17893986494474695)	(102, 0.18571314319890397)	(104, 0.19269296836424582)	(106, 0.19992013983063617)	(108, 0.20739477350543256)	(110, 0.21513448730698526)	(112, 0.22322748673440293)	(114, 0.23165569023990507)	(116, 0.24040275488607465)	(118, 0.24937491162063985)	(120, 0.25876642117488335)	(122, 0.26856685188662405)	(124, 0.2787919671564911)	(126, 0.28942414906613445)	(128, 0.3004781178499649)	(130, 0.3120605082769444)	(132, 0.32388931774611185)	(134, 0.33632293180706524)	(136, 0.34931487160942004)	(138, 0.36278446563230937)
P4107_1004_S4_L005_R1_001 - illumina_universal_adapter	(1, 7.627988631141361e-06)	(2, 2.2281756264649766e-05)	(3, 3.191711032503885e-05)	(4, 4.054878167080408e-05)	(5, 5.7209914733560206e-05)	(6, 6.985631693782088e-05)	(7, 9.414543863171838e-05)	(8, 0.00011341614675249655)	(9, 0.0001585818689105704)	(10, 0.00021197778932855995)	(12, 0.00028604957366780106)	(14, 0.000418535691998151)	(16, 0.0006140530848068795)	(18, 0.0008585501940892527)	(20, 0.0011935794842306982)	(22, 0.0016100074425281392)	(24, 0.0021268036722879666)	(26, 0.0027101440660273557)	(28, 0.003344471541669637)	(30, 0.0040528708016511605)	(32, 0.004840962469173818)	(34, 0.005681446374399841)	(36, 0.0065760287779440905)	(38, 0.007522903050920243)	(40, 0.008533410808003548)	(42, 0.0095912923892171)	(44, 0.010672760514224312)	(46, 0.011825189007155432)	(48, 0.012977818236629477)	(50, 0.014181334179734953)	(52, 0.015429614371912651)	(54, 0.01669445532888164)	(56, 0.017990310081732512)	(58, 0.01931075506109167)	(60, 0.02064796154178504)	(62, 0.0220316385321655)	(64, 0.02347142138629343)	(66, 0.024945931662347348)	(68, 0.02643359018196284)	(70, 0.027957983488933563)	(72, 0.029525635520904574)	(74, 0.031101818855949887)	(76, 0.03273179958449904)	(78, 0.034386069434742095)	(80, 0.03611541475203901)	(82, 0.03790628581974237)	(84, 0.039773838246842996)	(86, 0.04168695786918754)	(88, 0.043705664913110516)	(90, 0.04584672087994614)	(92, 0.048080416761341546)	(94, 0.05047630776942017)	(96, 0.05302234971160653)	(98, 0.05573500298442044)	(100, 0.05867689738925445)	(102, 0.06184552371932199)	(104, 0.06530602098280214)	(106, 0.06897668940672452)	(108, 0.0728854313705557)	(110, 0.07715158474906444)	(112, 0.08172275730454737)	(114, 0.08658068201159833)	(116, 0.0917961185015983)	(118, 0.09731105391364203)	(120, 0.10328457195799742)	(122, 0.10959151340015086)	(124, 0.11632401631330481)	(126, 0.12343470687332904)	(128, 0.13091053720493342)	(130, 0.13895244458758566)	(132, 0.1474266381154264)	(134, 0.1563539943889198)	(136, 0.16597067995081688)	(138, 0.1760927197595271)
P4107_1004_S4_L005_R2_001 - illumina_universal_adapter	(1, 8.832407888689997e-06)	(2, 1.7062606148605677e-05)	(3, 2.6095750580220447e-05)	(4, 3.492815846891044e-05)	(5, 4.757456067317112e-05)	(6, 6.142538213498044e-05)	(7, 7.909019791236043e-05)	(8, 9.775869640436429e-05)	(9, 0.00012586181241383245)	(10, 0.0001886923503492863)	(12, 0.0003498837943178788)	(14, 0.0006612261723942011)	(16, 0.0011791264531401146)	(18, 0.0018879271862074867)	(20, 0.002870532563824249)	(22, 0.0042270097526384)	(24, 0.006141835635597807)	(26, 0.00854906825835168)	(28, 0.011272059463126222)	(30, 0.014306091941162698)	(32, 0.017792082745594302)	(34, 0.021466364427289338)	(36, 0.025319502368730352)	(38, 0.029491409940335903)	(40, 0.03390048773740707)	(42, 0.038476779074734575)	(44, 0.04313195987343152)	(46, 0.048005341294287684)	(48, 0.052982603876107426)	(50, 0.05814083045137384)	(52, 0.06347359745071335)	(54, 0.06887260750921803)	(56, 0.07432521422468363)	(58, 0.0798966569735607)	(60, 0.08550463377325007)	(62, 0.09109083065803211)	(64, 0.09674939306653854)	(66, 0.10259062572910649)	(68, 0.10841700388749802)	(70, 0.11437747405656329)	(72, 0.120396860400977)	(74, 0.12638172006000764)	(76, 0.13246072515766996)	(78, 0.1385114264027799)	(80, 0.1446469388372756)	(82, 0.15069493013905608)	(84, 0.15676419951438658)	(86, 0.16280365951309278)	(88, 0.1688919988600011)	(90, 0.1750085416911904)	(92, 0.18110009282278555)	(94, 0.1872367093082673)	(96, 0.19342943165749654)	(98, 0.1997576511732)	(100, 0.20628098660862634)	(102, 0.21290288368662874)	(104, 0.21971397495633777)	(106, 0.22660797041827468)	(108, 0.23362030007226575)	(110, 0.24090683584389208)	(112, 0.24835345900850092)	(114, 0.25602018979242674)	(116, 0.264031484852283)	(118, 0.2722468286080222)	(120, 0.28081205615807936)	(122, 0.2895695893162584)	(124, 0.2987137410561106)	(126, 0.3081691348057676)	(128, 0.31782275589156284)	(130, 0.32796296235740774)	(132, 0.3384139089917002)	(134, 0.3492423406949626)	(136, 0.36064758885431947)	(138, 0.37249154672823837)
P4107_1005_S5_L006_R1_001 - illumina_universal_adapter	(1, 8.466990876420828e-06)	(2, 1.5901421889863504e-05)	(3, 2.2096781067732403e-05)	(4, 2.9324700108579453e-05)	(5, 3.634610717683087e-05)	(6, 4.543263397103859e-05)	(7, 5.9888472052732684e-05)	(8, 6.670336714838848e-05)	(9, 0.00010779924969491882)	(10, 0.000135058830077542)	(12, 0.00019876777362329382)	(14, 0.0003060507433867236)	(16, 0.000471570089422121)	(18, 0.0007005918670306746)	(20, 0.0010032351628695704)	(22, 0.0014089279330336854)	(24, 0.0019243818166323776)	(26, 0.0025245056089952785)	(28, 0.0032060983745471547)	(30, 0.003963274522069032)	(32, 0.004795517771629421)	(34, 0.005695703460173772)	(36, 0.006641734806634352)	(38, 0.0076552955681337045)	(40, 0.008758998805671048)	(42, 0.009939627753000266)	(44, 0.011144728369082063)	(46, 0.012393196499408943)	(48, 0.01368492888799461)	(50, 0.015030560901427735)	(52, 0.016427304628078277)	(54, 0.017876295883795516)	(56, 0.019365247206210006)	(58, 0.020911505601019786)	(60, 0.022466437498678583)	(62, 0.02404955828059668)	(64, 0.025699485685649465)	(66, 0.027384107102098317)	(68, 0.029101047642258383)	(70, 0.030909679498250915)	(72, 0.03278707984111778)	(74, 0.03474150914976283)	(76, 0.03678091813513097)	(78, 0.03891614867578348)	(80, 0.041140282620638416)	(82, 0.043473041863078654)	(84, 0.04589171008611867)	(86, 0.0484659850805095)	(88, 0.05118378589585429)	(90, 0.05409064842211037)	(92, 0.05723458669290624)	(94, 0.06057192342603792)	(96, 0.06413869496072334)	(98, 0.0680630419759581)	(100, 0.07220536237826755)	(102, 0.07664578281301877)	(104, 0.08147289691645533)	(106, 0.0866721455945092)	(108, 0.09225519677363206)	(110, 0.0982216374298787)	(112, 0.10461710670919278)	(114, 0.11137903148387777)	(116, 0.11856182765871268)	(118, 0.12615599568295807)	(120, 0.13421915239696813)	(122, 0.14271939170097686)	(124, 0.15159620558701373)	(126, 0.16091887882188455)	(128, 0.1707167361056979)	(130, 0.18100392350857664)	(132, 0.19183898717475156)	(134, 0.20310720970344578)	(136, 0.21488510378050607)	(138, 0.2271889838517674)
P4107_1005_S5_L006_R2_001 - illumina_universal_adapter	(1, 6.401871150464528e-06)	(2, 1.1151646520164016e-05)	(3, 1.7140493725437285e-05)	(4, 2.1064221204754255e-05)	(5, 2.6433532492240632e-05)	(6, 3.469401139606583e-05)	(7, 5.018240934073808e-05)	(8, 6.629034320319722e-05)	(9, 8.983270807909902e-05)	(10, 0.00014011837340613493)	(12, 0.00028632885000384094)	(14, 0.0005483925432276952)	(16, 0.0009745299986787777)	(18, 0.0015655672642474706)	(20, 0.0024088589043417255)	(22, 0.003633474901833811)	(24, 0.0053898592287596435)	(26, 0.00767388164566731)	(28, 0.010318473966726948)	(30, 0.013287806364693212)	(32, 0.016654158029974574)	(34, 0.020148340606292635)	(36, 0.023888788709930983)	(38, 0.027895947026176586)	(40, 0.032246018472917234)	(42, 0.036816954474348906)	(44, 0.04147813620780487)	(46, 0.0463438680501168)	(48, 0.05141642163298326)	(50, 0.056705812787075136)	(52, 0.06213170835505272)	(54, 0.06767738086713576)	(56, 0.07337205176744654)	(58, 0.07919558613865701)	(60, 0.08502583214897685)	(62, 0.09084275813706424)	(64, 0.0968086825133794)	(66, 0.10288075404360872)	(68, 0.10910223698601096)	(70, 0.1154190252037661)	(72, 0.12177143673679396)	(74, 0.1282533312766393)	(76, 0.13486171439969946)	(78, 0.1415122259651691)	(80, 0.14819071990292548)	(82, 0.15493003161661129)	(84, 0.16173635646540435)	(86, 0.1685868748763329)	(88, 0.1755049227023002)	(90, 0.18252653628252422)	(92, 0.18975208043568642)	(94, 0.19700395486535455)	(96, 0.20444045099852318)	(98, 0.2122125290871597)	(100, 0.22007505941979313)	(102, 0.22812283099184483)	(104, 0.23643793231242155)	(106, 0.24504173737068702)	(108, 0.25396759785021533)	(110, 0.26320188396081523)	(112, 0.27275533432506166)	(114, 0.2825645497673678)	(116, 0.29273412860185327)	(118, 0.30317206974472677)	(120, 0.3139442505152463)	(122, 0.32503900298696026)	(124, 0.3364400127140335)	(126, 0.3482029346730806)	(128, 0.3603470777335392)	(130, 0.37292303732869525)	(132, 0.3859691214294653)	(134, 0.39939539407178387)	(136, 0.413137010496256)	(138, 0.42730094390468615)
