Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
P4107_1001_S1_L002_R1_001	0.9624683840484203	0.10683361288501492
P4107_1001_S1_L002_R2_001	1.157093800801598	0.0
P4107_1002_S2_L003_R1_001	0.5887143705932792	0.0
P4107_1002_S2_L003_R2_001	0.6473386119798861	0.0
P4107_1003_S3_L004_R1_001	0.7694815927525448	0.0
P4107_1003_S3_L004_R2_001	0.8569172351922555	0.0
P4107_1004_S4_L005_R1_001	0.31712941187230065	0.0
P4107_1004_S4_L005_R2_001	0.3556358999553881	0.0
P4107_1005_S5_L006_R1_001	0.4350616638348299	0.0
P4107_1005_S5_L006_R2_001	0.464848744250051	0.0
P4107_1006_S6_L007_R1_001	0.326350616952073	0.0
P4107_1006_S6_L007_R2_001	0.390560945370475	0.0
