Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
P4107_1001_S1_L002_R1_001	(1, 8.03723545811694)	(2, 0.011518465692819287)	(3, 0.000774780011747667)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001966147661036644)	(15, 7.22119997490255e-05)	(20, 1.616297467306708e-05)	(25, 0.001679854454811446)	(30, 0.0010844834619348233)	(35, 0.0017647882797870147)	(40, 0.001248563724180443)	(45, 0.0012441319408023441)	(50, 0.006671658836018269)	(55, 0.001232244333623443)	(60, 0.002156505791782992)	(65, 0.0031279005696343235)	(70, 0.002169540448777401)	(75, 0.004015769265465483)	(80, 0.005807826047684801)	(85, 0.0032359318068039848)	(90, 0.003854295934618744)	(95, 0.0025198598901591354)	(100, 0.004354513931436182)	(105, 0.004328444617447364)	(110, 0.0019350730387619728)	(115, 0.0013616002696359574)	(120, 0.003098442244826959)	(125, 0.002222721849314589)	(130, 0.0018047786074458613)	(135, 0.003623373951305796)	(140, 0.0016033149489402766)	(145, 7.22119997490255e-05)	(150, 0.00026551596297611)
P4107_1001_S1_L002_R2_001	(1, 1.196644860519733)	(2, 0.0025394118756507486)	(3, 0.012835748128674256)	(4, 0.006019665293157934)	(5, 0.007065044784109531)	(6, 0.0017948722681301104)	(7, 0.025852677989570794)	(8, 0.0009051265816917565)	(9, 0.005973261914257838)	(10, 0.007831378338124821)	(15, 0.009296682338808294)	(20, 0.008708297922080676)	(25, 0.011700690197601126)	(30, 0.0063642494854621295)	(35, 0.010877734093602123)	(40, 0.009744970262160008)	(45, 0.007941442981785611)	(50, 0.011218355750180016)	(55, 0.00820124976499817)	(60, 0.01838256820470301)	(65, 0.007711720186916147)	(70, 0.0104124489775297)	(75, 0.015821883768837385)	(80, 0.008674199259383304)	(85, 0.013969763287187832)	(90, 0.01054894790557515)	(95, 0.013678360495420825)	(100, 0.014848507723122904)	(105, 0.00759696306673737)	(110, 0.009469626167810113)	(115, 0.011060323568779803)	(120, 0.01642163440646413)	(125, 0.01603789410454873)	(130, 0.009405652071281554)	(135, 0.012599872975703431)	(140, 0.009821249074891288)	(145, 0.01024310271385834)	(150, 0.009537719215948906)
P4107_1002_S2_L003_R1_001	(1, 2.3434284599497586)	(2, 0.017108432500392554)	(3, 0.005116862091342711)	(4, 0.0005592935758572852)	(5, 5.555742503320497e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020028567953393056)	(15, 0.00044478484124909793)	(20, 0.0)	(25, 0.0007509318235450433)	(30, 3.445025267749363e-05)	(35, 0.0004429716700555456)	(40, 9.870160112593653e-05)	(45, 0.00028150645069126035)	(50, 0.0011910675078875969)	(55, 0.0011920438308379712)	(60, 0.0005959289322808547)	(65, 0.0008365692937635903)	(70, 0.003586638587122704)	(75, 0.0038596370806749884)	(80, 0.003918262949266512)	(85, 0.004572538800724499)	(90, 0.005737059622675727)	(95, 0.005714604194817118)	(100, 0.003155057351488192)	(105, 0.0034986300468818196)	(110, 0.004720753922905133)	(115, 0.003370313316261195)	(120, 0.0036545162779582515)	(125, 0.003701705220559677)	(130, 0.003148780989664357)	(135, 0.002080637190385793)	(140, 0.001849295142716146)	(145, 0.0031163763660257424)	(150, 0.0)
P4107_1002_S2_L003_R2_001	(1, 1.1286888398411101)	(2, 0.06517699558853589)	(3, 0.006731514284985563)	(4, 0.00843938207460463)	(5, 0.003282769691710965)	(6, 0.008633716833298184)	(7, 0.017178402311836045)	(8, 0.010012889229624565)	(9, 0.009536815562394425)	(10, 0.01350645169547825)	(15, 0.012760819910806668)	(20, 0.013514773686340966)	(25, 0.014039105602261038)	(30, 0.011692769094666235)	(35, 0.01175148794639589)	(40, 0.011126083359327545)	(45, 0.014020276516789533)	(50, 0.012529524354706088)	(55, 0.014848337853414146)	(60, 0.010201412542184938)	(65, 0.012629713686042118)	(70, 0.009694328998388147)	(75, 0.01206339988325595)	(80, 0.010682042383183495)	(85, 0.013435412577946256)	(90, 0.01332983022459863)	(95, 0.012492610048868126)	(100, 0.013687303899142826)	(105, 0.23374542933248493)	(110, 0.011713039418778768)	(115, 0.008943304191704972)	(120, 0.012717071344316088)	(125, 0.010535779906903608)	(130, 0.010623370023022903)	(135, 0.2246780391429443)	(140, 0.00989703223951348)	(145, 0.010540800996362676)	(150, 0.014853591400718541)
P4107_1003_S3_L004_R1_001	(1, 1.511424756420688)	(2, 0.0)	(3, 0.0038040794753569367)	(4, 9.597129206567775e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0018190500696603218)	(9, 0.0)	(10, 0.0033286738575591304)	(15, 0.00035643830599078766)	(20, 0.0023686827592441914)	(25, 0.0035049457669473942)	(30, 0.001644957218594322)	(35, 0.005191305093664736)	(40, 0.003592988995755473)	(45, 0.001376840319069774)	(50, 0.004215736046492759)	(55, 0.004304845622990456)	(60, 0.002397705961579029)	(65, 0.005494565104003672)	(70, 0.004364746545381208)	(75, 0.004678484580844223)	(80, 0.0049680675229902245)	(85, 0.0038894800164124815)	(90, 0.007728795328469861)	(95, 0.009771963864722205)	(100, 0.007279260232881063)	(105, 0.010079535628762641)	(110, 0.006624708203227325)	(115, 0.002995417023081791)	(120, 0.0038606886287927784)	(125, 0.0008263730965114204)	(130, 0.0020676018072275193)	(135, 0.006810020886505833)	(140, 0.005752667607834411)	(145, 0.007548907109525499)	(150, 0.004146122087537872)
P4107_1003_S3_L004_R2_001	(1, 1.3010814156461024)	(2, 0.01329689206011419)	(3, 0.019073251131835348)	(4, 0.00802333910551974)	(5, 0.0060144327841642736)	(6, 0.007700189392622265)	(7, 0.014599922573885146)	(8, 0.009164099318696552)	(9, 0.03500147202344111)	(10, 0.009826533048664864)	(15, 0.016078158649354746)	(20, 0.0164417832115147)	(25, 0.01688696019045897)	(30, 0.01660785527343705)	(35, 0.0149054543684324)	(40, 0.0194630707568055)	(45, 0.017694927198588714)	(50, 0.22679365476761734)	(55, 0.017608970302216843)	(60, 0.011038460379387964)	(65, 0.025628368557579297)	(70, 0.01637947141608655)	(75, 0.01852765201829482)	(80, 0.017233105923097784)	(85, 0.019929574689542144)	(90, 0.01476019926792913)	(95, 0.012415068883742601)	(100, 0.015716110427257703)	(105, 0.013744758089754021)	(110, 0.01973879117898646)	(115, 0.012525737228747806)	(120, 0.016906618078302373)	(125, 0.01825489882446758)	(130, 0.02335208714378771)	(135, 0.01315525326916702)	(140, 0.014871794871794871)	(145, 0.016493477892989692)	(150, 0.0123340496408031)
P4107_1004_S4_L005_R1_001	(1, 1.5367131108196457)	(2, 6.423569373592726e-05)	(3, 0.010346362895428632)	(4, 0.0)	(5, 0.0007870879848080336)	(6, 0.0)	(7, 0.006560270959324495)	(8, 0.0)	(9, 0.0)	(10, 6.664453225102453e-05)	(15, 0.00012542019201939797)	(20, 0.00010249607881738892)	(25, 0.00041937878547843504)	(30, 0.0007397543079863722)	(35, 0.0010818495244387697)	(40, 0.0022453988218479218)	(45, 0.0010688016491486596)	(50, 0.0013414420217490858)	(55, 0.0019940365227975217)	(60, 0.003616630146567044)	(65, 0.0025228167241699577)	(70, 0.0007927086080099272)	(75, 0.006256717159113654)	(80, 0.002098941440130008)	(85, 0.006109697715075551)	(90, 0.009979456642270734)	(95, 0.003327529377446786)	(100, 0.003586599959745498)	(105, 0.004200773486478133)	(110, 0.0031171574804616247)	(115, 0.004140472228983531)	(120, 0.008379184922074446)	(125, 0.004595863150262671)	(130, 0.005549723054932605)	(135, 0.0041113252829508545)	(140, 0.009244680600548895)	(145, 0.009431847353171954)	(150, 0.0031332966985127765)
P4107_1004_S4_L005_R2_001	(1, 1.3994093154591012)	(2, 0.03509336464373753)	(3, 0.0017303490000115404)	(4, 0.009591794230574411)	(5, 0.0016719346660204317)	(6, 0.0017630690565082784)	(7, 0.014431753017033606)	(8, 0.004648456124508961)	(9, 0.02616901941838799)	(10, 0.0060996608879293115)	(15, 0.006862941518746468)	(20, 0.0060852881514558985)	(25, 0.0055144335706864295)	(30, 0.008094339767664193)	(35, 0.0031695898654735756)	(40, 0.008645883493004299)	(45, 0.007762843440678223)	(50, 0.0051875140368791445)	(55, 0.0091077782782742)	(60, 0.009515153018485734)	(65, 0.007423237357358093)	(70, 0.007104588169119309)	(75, 0.00468816181269948)	(80, 0.008096467575019197)	(85, 0.0028094283601579483)	(90, 0.005578348085953678)	(95, 0.00971171424131767)	(100, 0.005643948788181493)	(105, 0.006872536725498272)	(110, 0.007455836971929076)	(115, 0.007400955601093442)	(120, 0.00554944202377251)	(125, 0.0046574892689405754)	(130, 0.003149636653106853)	(135, 0.002482388384424909)	(140, 0.0031452204491625078)	(145, 0.0057458828046786925)	(150, 0.011677848384648649)
P4107_1005_S5_L006_R1_001	(1, 1.7373967901175)	(2, 0.009246367060996736)	(3, 0.008195014608512383)	(4, 0.0)	(5, 0.0)	(6, 0.0031699587793429193)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002685894715578763)	(15, 0.0)	(20, 0.0004705581807564024)	(25, 7.302263350981475e-05)	(30, 0.0012403109074093535)	(35, 0.0032121285241469475)	(40, 0.0014010598268777918)	(45, 0.0026047768127431996)	(50, 0.0036844214054731527)	(55, 0.004310772218355699)	(60, 0.005925571936869967)	(65, 0.006124112547323406)	(70, 0.0033118325045161175)	(75, 0.0024959450031853026)	(80, 0.005032861981733578)	(85, 0.0034399938347089653)	(90, 0.0037510834702270224)	(95, 0.007417497031689836)	(100, 0.007463342689606066)	(105, 0.005390871137425362)	(110, 0.006371844309649124)	(115, 0.003852976477505706)	(120, 0.0010780337993437075)	(125, 0.0007135401677124206)	(130, 0.010276737897065371)	(135, 0.003775988814122055)	(140, 0.01272411128429618)	(145, 0.005625468738293998)	(150, 0.002537515863268803)
P4107_1005_S5_L006_R2_001	(1, 1.4947311795034983)	(2, 0.04013147163450877)	(3, 0.01529117901084342)	(4, 0.02165319335059699)	(5, 0.013750599695280018)	(6, 0.007563707508287542)	(7, 0.007517035802480931)	(8, 0.012653401584879436)	(9, 0.009757690705143514)	(10, 0.013211066515676677)	(15, 0.013702234591298122)	(20, 0.016364008708477717)	(25, 0.025398164066435185)	(30, 0.027513094480181546)	(35, 0.01266042299194769)	(40, 0.02468280659336392)	(45, 0.015503142899515572)	(50, 0.015951686903993283)	(55, 0.02710622459177364)	(60, 0.018359657806852846)	(65, 0.016946744192748067)	(70, 0.011744790207853186)	(75, 0.013316346319305929)	(80, 0.012101890710865548)	(85, 0.017101380357827673)	(90, 0.012006027853186657)	(95, 0.017855809896114027)	(100, 0.013508443756214385)	(105, 0.01405582439077636)	(110, 0.017421680427323494)	(115, 0.01699097905727805)	(120, 0.012818652465350461)	(125, 0.015032915137915324)	(130, 0.01858772962938746)	(135, 0.017847549417210205)	(140, 0.012314061111510299)	(145, 0.008940192410426455)	(150, 0.018008050522311525)
