Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
P4107_1001_S1_L002_R1_001	(1, 29.077435586400906)	(2, 31.487375913845465)	(3, 35.473843583219285)	(4, 36.2185740494015)	(5, 36.43194061777329)	(6, 40.74099091954698)	(7, 40.91562827114493)	(8, 41.0180452990619)	(9, 41.03335919617835)	(10, 41.074320188152875)	(15, 41.078671442377285)	(20, 41.037842329848374)	(25, 40.88425954216924)	(30, 40.77225838435802)	(35, 40.726982649797485)	(40, 40.64062709776511)	(45, 40.61763648372964)	(50, 40.57188334338618)	(55, 40.50773272944706)	(60, 40.45390375880821)	(65, 40.40568065576296)	(70, 40.109089208660656)	(75, 39.718978572681905)	(80, 39.91883650795533)	(85, 39.86087065888178)	(90, 39.778432728797405)	(95, 39.67624632045971)	(100, 39.57926383260481)	(105, 39.47172282419223)	(110, 39.36207789648666)	(115, 39.225817273775625)	(120, 39.102628066834505)	(125, 38.928710990569385)	(130, 38.73584294120508)	(135, 38.38684651333718)	(140, 38.04274665238986)	(145, 37.70600494499432)	(150, 36.275316080265085)
P4107_1001_S1_L002_R2_001	(1, 30.773044606191675)	(2, 31.21337426924715)	(3, 35.38702612778225)	(4, 35.78418786667598)	(5, 35.972119603843616)	(6, 40.154876712531035)	(7, 40.293795980860494)	(8, 40.43222029719456)	(9, 40.4162365438413)	(10, 40.46910620335073)	(15, 40.31417592672162)	(20, 40.2031191616142)	(25, 40.09344585328927)	(30, 40.029902187725355)	(35, 39.90872257712813)	(40, 39.746051853492254)	(45, 39.60430680187297)	(50, 39.442604216436244)	(55, 39.25481203039194)	(60, 39.08373627524916)	(65, 39.009092149800665)	(70, 38.84016290130359)	(75, 38.19857494493457)	(80, 38.53369168942284)	(85, 38.44840578063471)	(90, 38.25337678170335)	(95, 38.037019961346715)	(100, 37.821392217323314)	(105, 37.605908569868824)	(110, 37.24280304135878)	(115, 36.76368132457642)	(120, 36.34430605827187)	(125, 35.92465341238092)	(130, 35.371943068184535)	(135, 34.70907593729429)	(140, 33.933056502245314)	(145, 33.22689981298812)	(150, 30.954047277420436)
P4107_1002_S2_L003_R1_001	(1, 30.90115338702099)	(2, 31.61895791965329)	(3, 35.99998248662593)	(4, 36.40470558465375)	(5, 36.571274488074124)	(6, 41.028966360569584)	(7, 41.164827417577165)	(8, 41.22616894007805)	(9, 41.24751211526123)	(10, 41.24629235548149)	(15, 41.27791046357943)	(20, 41.257949287479974)	(25, 41.12482523516993)	(30, 41.043680582334055)	(35, 40.99035339320251)	(40, 40.93704882221932)	(45, 40.910604984932036)	(50, 40.864525828628295)	(55, 40.81037404410661)	(60, 40.71533599024592)	(65, 40.707180318322386)	(70, 40.513353019754334)	(75, 40.17086942841898)	(80, 40.35776260151423)	(85, 40.301065562122446)	(90, 40.22099563908152)	(95, 40.160367446952954)	(100, 40.05729279537542)	(105, 39.986293044579526)	(110, 39.86374080453716)	(115, 39.58530982692946)	(120, 39.513633396459895)	(125, 39.48586651046863)	(130, 39.29995071475255)	(135, 38.93719686346303)	(140, 38.630763069098535)	(145, 38.383225449957266)	(150, 36.89401681145365)
P4107_1002_S2_L003_R2_001	(1, 30.94147674527514)	(2, 31.345713801843317)	(3, 35.640319133565264)	(4, 36.072508130236386)	(5, 36.24322113405192)	(6, 40.58204578729618)	(7, 40.515951754806146)	(8, 40.7166240280089)	(9, 40.707927849752565)	(10, 40.62590025228278)	(15, 40.50051224596763)	(20, 40.55611425316115)	(25, 40.355336825327484)	(30, 40.35456246454263)	(35, 40.2325415529324)	(40, 40.12177597449792)	(45, 39.909284022769675)	(50, 39.725696021328694)	(55, 39.456378887356514)	(60, 39.507885749312194)	(65, 39.3776453918984)	(70, 39.1973869627468)	(75, 38.60204845014729)	(80, 39.09989304242604)	(85, 38.98662554205334)	(90, 38.72935254092836)	(95, 38.589224351956574)	(100, 38.46371364416252)	(105, 38.03350293023807)	(110, 37.83074788913632)	(115, 37.4081648144906)	(120, 37.063082929773344)	(125, 36.55852240346423)	(130, 35.89350669503235)	(135, 35.19250184160079)	(140, 34.66009945467156)	(145, 33.98347079061638)	(150, 31.559213545270296)
P4107_1003_S3_L004_R1_001	(1, 31.13000048217461)	(2, 31.651721412029794)	(3, 36.07641229637975)	(4, 36.469827476534554)	(5, 36.62354389527538)	(6, 41.09228069980226)	(7, 41.2150670547245)	(8, 41.264797027671726)	(9, 41.28713609378296)	(10, 41.32035103795039)	(15, 41.293022303357375)	(20, 41.22200562985218)	(25, 41.074856695388505)	(30, 41.048323656459864)	(35, 41.00266455437098)	(40, 40.9301174628343)	(45, 40.918424336372425)	(50, 40.875327528229235)	(55, 40.81895699187953)	(60, 40.77629602600034)	(65, 40.72522589184916)	(70, 40.489669573623196)	(75, 40.147472598341594)	(80, 40.34029982173449)	(85, 40.291438109411914)	(90, 40.19195644062414)	(95, 40.09955796457407)	(100, 40.00394711100911)	(105, 39.89349450251403)	(110, 39.792334113158034)	(115, 39.63257379844638)	(120, 39.51006607832092)	(125, 39.360580027771405)	(130, 38.96311520124995)	(135, 38.651625214950194)	(140, 38.40158887428456)	(145, 38.04391925522568)	(150, 36.48077752394066)
P4107_1003_S3_L004_R2_001	(1, 30.993574508726663)	(2, 31.432482513056964)	(3, 35.79548137948301)	(4, 36.158338484256305)	(5, 36.326628623553766)	(6, 40.710673850604685)	(7, 40.82228516918997)	(8, 40.907396022986745)	(9, 40.89234863310453)	(10, 40.918165124866995)	(15, 40.85066236743096)	(20, 40.67299624877428)	(25, 40.63591949074943)	(30, 40.57082711675811)	(35, 40.4444441727576)	(40, 40.32290970075038)	(45, 40.20643522841863)	(50, 40.04619522693501)	(55, 40.048301039225365)	(60, 39.92234277607394)	(65, 39.76444810665331)	(70, 39.566566193996465)	(75, 39.04804292930346)	(80, 39.397327690963166)	(85, 39.31048518170796)	(90, 39.1047335628299)	(95, 39.00037993180011)	(100, 38.83819122349489)	(105, 38.65079375027527)	(110, 38.33280823220416)	(115, 37.89562937509707)	(120, 37.451559110202396)	(125, 37.0835410189184)	(130, 36.55942887854995)	(135, 35.886234889505516)	(140, 35.22764558080017)	(145, 34.50060092725886)	(150, 32.139011252286274)
P4107_1004_S4_L005_R1_001	(1, 31.339314152165755)	(2, 31.81008052307543)	(3, 36.4539671190612)	(4, 36.7106954471561)	(5, 36.79123035399735)	(6, 41.49312831339376)	(7, 41.5469917331613)	(8, 41.591572780027626)	(9, 41.60564742474216)	(10, 41.61614816568182)	(15, 41.61704010398362)	(20, 41.59003188015473)	(25, 41.50101196931985)	(30, 41.42946564139032)	(35, 41.40858418952537)	(40, 41.36504110635753)	(45, 41.34026440483475)	(50, 41.29950176206437)	(55, 41.25469217905276)	(60, 41.20489316802189)	(65, 41.154444104216076)	(70, 41.0328023203394)	(75, 40.76471075944799)	(80, 40.94223069153785)	(85, 40.87602894756647)	(90, 40.80796460695176)	(95, 40.74422715095072)	(100, 40.663798783022266)	(105, 40.585425455050526)	(110, 40.49610809360929)	(115, 40.39918243458736)	(120, 40.262683591559515)	(125, 40.06430036904269)	(130, 39.797305976282786)	(135, 39.512074056351715)	(140, 39.25458689675073)	(145, 38.89700134191777)	(150, 37.047274982460195)
P4107_1004_S4_L005_R2_001	(1, 31.16400258059673)	(2, 31.59836712986965)	(3, 36.11011233640496)	(4, 36.421991897514346)	(5, 36.56365211948412)	(6, 41.112310819082)	(7, 41.10462118425853)	(8, 41.192297755308374)	(9, 41.232850100052815)	(10, 41.25133182804613)	(15, 41.18900430256498)	(20, 41.09867171886821)	(25, 40.95723329431798)	(30, 40.93426965127299)	(35, 40.860218152164364)	(40, 40.762806720343896)	(45, 40.62952616426096)	(50, 40.42261794420612)	(55, 40.29693503221407)	(60, 40.207803538358554)	(65, 40.041832123711984)	(70, 40.023695464244796)	(75, 39.580555855506134)	(80, 39.88135295883929)	(85, 39.81641328485763)	(90, 39.690043828595975)	(95, 39.48138357116208)	(100, 39.33759173948571)	(105, 39.10424503007284)	(110, 38.70499547440467)	(115, 38.27207477330235)	(120, 38.02021628081801)	(125, 37.518263073505835)	(130, 36.921420525635504)	(135, 36.243588498204794)	(140, 35.63139634192057)	(145, 34.874737427117054)	(150, 32.2951139757902)
P4107_1005_S5_L006_R1_001	(1, 31.246287012825917)	(2, 31.77432971139006)	(3, 36.3620296691373)	(4, 36.648415053858756)	(5, 36.745533975178326)	(6, 41.40502544737587)	(7, 41.46920232433521)	(8, 41.51239184591111)	(9, 41.518140750985665)	(10, 41.53038708938693)	(15, 41.53398696231268)	(20, 41.50669337312539)	(25, 41.43502541602735)	(30, 41.3610090279063)	(35, 41.32448610393946)	(40, 41.271986189982684)	(45, 41.238905929637326)	(50, 41.19101903345268)	(55, 41.133676063907245)	(60, 41.07378584848043)	(65, 41.02727815819968)	(70, 40.8688114388865)	(75, 40.584405735344674)	(80, 40.72614471971623)	(85, 40.69599031975955)	(90, 40.61048762007603)	(95, 40.53001660566902)	(100, 40.42394053234979)	(105, 40.31213558809548)	(110, 40.24862447806319)	(115, 40.11287643038504)	(120, 39.990978732641224)	(125, 39.7942295660523)	(130, 39.49425192469055)	(135, 39.2315374407879)	(140, 38.96798437165303)	(145, 38.59136715564118)	(150, 36.96781633058929)
P4107_1005_S5_L006_R2_001	(1, 31.041652240256543)	(2, 31.50036083217436)	(3, 35.84915693325144)	(4, 36.26332974997889)	(5, 36.427375876773944)	(6, 40.920252572568174)	(7, 40.98461599798772)	(8, 41.059065352502124)	(9, 41.075466634556534)	(10, 41.09690139399836)	(15, 41.01527810019459)	(20, 40.888233483906575)	(25, 40.80996133670459)	(30, 40.737662749865606)	(35, 40.6402171802985)	(40, 40.52235137935315)	(45, 40.31800305706282)	(50, 40.21811107851939)	(55, 40.07696379803404)	(60, 39.9615537044731)	(65, 39.847533246496695)	(70, 39.73916912336408)	(75, 39.2094592751224)	(80, 39.51581530515822)	(85, 39.419785954635856)	(90, 39.26972368693937)	(95, 39.07219046295247)	(100, 38.85347439521864)	(105, 38.55689448419035)	(110, 38.18580665556946)	(115, 37.803347937818735)	(120, 37.4355753061954)	(125, 36.868612514163786)	(130, 36.179115228199876)	(135, 35.66822588533985)	(140, 35.176023522176266)	(145, 34.457258620556274)	(150, 31.8046540915579)
