Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
P4107_1001_S1_L002_R1_001	(0.0, 3817.0)	(1.0, 3799.5)	(2.0, 4440.5)	(3.0, 6036.5)	(4.0, 7888.5)	(5.0, 9842.0)	(6.0, 15314.0)	(7.0, 24306.5)	(8.0, 34720.0)	(9.0, 42641.5)	(10.0, 51708.5)	(11.0, 70639.5)	(12.0, 99386.5)	(13.0, 130846.5)	(14.0, 163037.0)	(15.0, 210346.0)	(16.0, 280135.0)	(17.0, 392043.0)	(18.0, 573427.0)	(19.0, 838714.5)	(20.0, 1203434.0)	(21.0, 1670698.0)	(22.0, 2237903.5)	(23.0, 2900401.0)	(24.0, 3658695.0)	(25.0, 4517133.0)	(26.0, 5449867.5)	(27.0, 6433798.0)	(28.0, 7454270.0)	(29.0, 8473334.0)	(30.0, 9462642.5)	(31.0, 10416448.0)	(32.0, 11341151.5)	(33.0, 12227115.5)	(34.0, 13052324.5)	(35.0, 13824728.5)	(36.0, 14531214.0)	(37.0, 15040681.5)	(38.0, 15243883.0)	(39.0, 15149632.5)	(40.0, 14790065.5)	(41.0, 14196155.5)	(42.0, 13398235.5)	(43.0, 12511450.5)	(44.0, 11690783.0)	(45.0, 11021173.0)	(46.0, 10499607.5)	(47.0, 10114856.0)	(48.0, 9801034.5)	(49.0, 9454980.0)	(50.0, 9028464.5)	(51.0, 8518454.0)	(52.0, 7971472.0)	(53.0, 7424006.5)	(54.0, 6906436.0)	(55.0, 6431702.5)	(56.0, 5963861.5)	(57.0, 5456551.5)	(58.0, 4902557.0)	(59.0, 4290585.0)	(60.0, 3654634.0)	(61.0, 3063159.5)	(62.0, 2545787.0)	(63.0, 2116929.0)	(64.0, 1767140.0)	(65.0, 1476711.5)	(66.0, 1230838.0)	(67.0, 1018254.5)	(68.0, 838592.5)	(69.0, 689812.5)	(70.0, 569799.5)	(71.0, 476940.0)	(72.0, 403481.0)	(73.0, 340321.0)	(74.0, 282858.0)	(75.0, 237893.5)	(76.0, 202984.0)	(77.0, 174792.0)	(78.0, 154559.0)	(79.0, 135046.5)	(80.0, 113534.0)	(81.0, 95263.5)	(82.0, 79217.5)	(83.0, 64893.5)	(84.0, 56055.5)	(85.0, 48165.5)	(86.0, 37763.5)	(87.0, 27838.0)	(88.0, 19425.0)	(89.0, 12720.5)	(90.0, 9112.5)	(91.0, 6782.0)	(92.0, 4997.0)	(93.0, 3421.0)	(94.0, 2427.5)	(95.0, 1759.5)	(96.0, 1292.5)	(97.0, 1031.5)	(98.0, 925.5)	(99.0, 925.5)	(100.0, 1086.5)
P4107_1001_S1_L002_R2_001	(0.0, 3613.0)	(1.0, 3812.5)	(2.0, 4613.5)	(3.0, 6183.5)	(4.0, 8095.5)	(5.0, 10324.0)	(6.0, 15951.5)	(7.0, 24866.0)	(8.0, 35361.5)	(9.0, 43927.5)	(10.0, 53599.0)	(11.0, 71965.0)	(12.0, 100598.0)	(13.0, 132900.0)	(14.0, 166390.5)	(15.0, 215651.5)	(16.0, 288307.0)	(17.0, 401711.0)	(18.0, 583208.5)	(19.0, 847539.0)	(20.0, 1209140.0)	(21.0, 1673452.5)	(22.0, 2237764.5)	(23.0, 2895150.5)	(24.0, 3650073.0)	(25.0, 4504367.5)	(26.0, 5436727.0)	(27.0, 6419425.0)	(28.0, 7437689.0)	(29.0, 8460890.5)	(30.0, 9453703.0)	(31.0, 10406581.5)	(32.0, 11330215.5)	(33.0, 12210103.0)	(34.0, 13016588.0)	(35.0, 13764718.0)	(36.0, 14441057.5)	(37.0, 14923193.5)	(38.0, 15104992.0)	(39.0, 15003623.5)	(40.0, 14666468.0)	(41.0, 14120554.0)	(42.0, 13393758.5)	(43.0, 12578233.0)	(44.0, 11818153.0)	(45.0, 11200573.5)	(46.0, 10726483.0)	(47.0, 10378644.0)	(48.0, 10090986.5)	(49.0, 9759111.0)	(50.0, 9297517.0)	(51.0, 8694570.0)	(52.0, 8010137.5)	(53.0, 7321817.0)	(54.0, 6683587.5)	(55.0, 6130255.0)	(56.0, 5647427.5)	(57.0, 5168667.5)	(58.0, 4668912.0)	(59.0, 4134258.5)	(60.0, 3574833.0)	(61.0, 3035126.0)	(62.0, 2551107.0)	(63.0, 2139821.0)	(64.0, 1798750.5)	(65.0, 1510370.5)	(66.0, 1264240.5)	(67.0, 1051540.5)	(68.0, 868622.0)	(69.0, 718887.0)	(70.0, 597496.5)	(71.0, 500271.5)	(72.0, 424754.5)	(73.0, 362802.5)	(74.0, 305561.0)	(75.0, 257813.5)	(76.0, 220186.5)	(77.0, 190740.5)	(78.0, 169359.0)	(79.0, 149553.5)	(80.0, 128323.5)	(81.0, 109898.0)	(82.0, 93149.5)	(83.0, 77153.0)	(84.0, 66383.5)	(85.0, 58131.0)	(86.0, 48661.0)	(87.0, 39387.0)	(88.0, 31101.5)	(89.0, 23984.5)	(90.0, 19292.5)	(91.0, 15656.0)	(92.0, 13061.5)	(93.0, 11035.0)	(94.0, 9394.5)	(95.0, 8288.5)	(96.0, 7389.5)	(97.0, 6835.5)	(98.0, 6995.5)	(99.0, 9600.5)	(100.0, 18403.5)
P4107_1002_S2_L003_R1_001	(0.0, 4901.0)	(1.0, 4731.0)	(2.0, 5365.0)	(3.0, 7230.5)	(4.0, 9559.5)	(5.0, 12112.0)	(6.0, 18641.0)	(7.0, 29487.0)	(8.0, 43079.5)	(9.0, 53465.5)	(10.0, 63925.0)	(11.0, 85740.5)	(12.0, 120331.0)	(13.0, 157261.5)	(14.0, 193317.5)	(15.0, 246399.5)	(16.0, 323865.0)	(17.0, 447799.0)	(18.0, 651074.5)	(19.0, 951099.5)	(20.0, 1365249.5)	(21.0, 1895716.0)	(22.0, 2536440.5)	(23.0, 3284822.5)	(24.0, 4143581.5)	(25.0, 5115351.0)	(26.0, 6171604.0)	(27.0, 7285312.5)	(28.0, 8437266.5)	(29.0, 9597361.0)	(30.0, 10722915.0)	(31.0, 11797696.5)	(32.0, 12843700.0)	(33.0, 13846064.0)	(34.0, 14770529.5)	(35.0, 15631678.0)	(36.0, 16423255.0)	(37.0, 16996774.5)	(38.0, 17219991.0)	(39.0, 17106579.0)	(40.0, 16702518.5)	(41.0, 16028313.5)	(42.0, 15120352.5)	(43.0, 14109858.0)	(44.0, 13164996.0)	(45.0, 12391838.0)	(46.0, 11784228.0)	(47.0, 11320146.5)	(48.0, 10942096.0)	(49.0, 10532145.0)	(50.0, 10020174.0)	(51.0, 9414451.0)	(52.0, 8770956.5)	(53.0, 8122062.0)	(54.0, 7508284.5)	(55.0, 6967276.0)	(56.0, 6458156.0)	(57.0, 5910609.5)	(58.0, 5322386.5)	(59.0, 4684580.5)	(60.0, 4012757.0)	(61.0, 3375921.0)	(62.0, 2819307.0)	(63.0, 2351772.0)	(64.0, 1966762.5)	(65.0, 1646223.5)	(66.0, 1369056.5)	(67.0, 1131953.0)	(68.0, 932294.5)	(69.0, 764762.5)	(70.0, 630930.0)	(71.0, 527158.5)	(72.0, 443755.0)	(73.0, 373962.0)	(74.0, 311205.0)	(75.0, 261625.5)	(76.0, 222274.0)	(77.0, 190603.0)	(78.0, 168505.5)	(79.0, 147406.0)	(80.0, 123524.0)	(81.0, 103350.5)	(82.0, 86057.5)	(83.0, 70036.0)	(84.0, 60078.0)	(85.0, 51599.0)	(86.0, 40999.5)	(87.0, 30580.5)	(88.0, 21476.0)	(89.0, 14362.0)	(90.0, 10445.0)	(91.0, 7859.5)	(92.0, 5733.0)	(93.0, 4051.5)	(94.0, 2947.0)	(95.0, 2214.0)	(96.0, 1709.5)	(97.0, 1356.0)	(98.0, 1261.5)	(99.0, 1249.5)	(100.0, 1394.5)
P4107_1002_S2_L003_R2_001	(0.0, 4461.0)	(1.0, 4680.5)	(2.0, 5845.0)	(3.0, 7969.0)	(4.0, 10457.5)	(5.0, 13506.5)	(6.0, 20090.5)	(7.0, 31148.0)	(8.0, 44992.5)	(9.0, 56265.0)	(10.0, 67927.5)	(11.0, 89153.5)	(12.0, 122852.5)	(13.0, 160576.0)	(14.0, 198310.5)	(15.0, 253696.5)	(16.0, 334260.0)	(17.0, 459959.5)	(18.0, 663173.0)	(19.0, 961926.0)	(20.0, 1372308.0)	(21.0, 1898964.0)	(22.0, 2538534.0)	(23.0, 3289084.0)	(24.0, 4148843.5)	(25.0, 5121309.5)	(26.0, 6182136.0)	(27.0, 7304593.5)	(28.0, 8466695.5)	(29.0, 9629783.5)	(30.0, 10760889.5)	(31.0, 11846557.0)	(32.0, 12891064.0)	(33.0, 13884206.5)	(34.0, 14797260.5)	(35.0, 15630388.0)	(36.0, 16373775.0)	(37.0, 16902550.5)	(38.0, 17100373.5)	(39.0, 16970412.0)	(40.0, 16564521.5)	(41.0, 15927576.5)	(42.0, 15087108.5)	(43.0, 14141357.0)	(44.0, 13248051.0)	(45.0, 12501524.5)	(46.0, 11904984.0)	(47.0, 11446371.5)	(48.0, 11065419.5)	(49.0, 10651059.0)	(50.0, 10123930.0)	(51.0, 9479860.5)	(52.0, 8765731.0)	(53.0, 8046336.5)	(54.0, 7377399.0)	(55.0, 6790530.0)	(56.0, 6264973.5)	(57.0, 5733855.0)	(58.0, 5179095.0)	(59.0, 4583755.5)	(60.0, 3956877.5)	(61.0, 3352486.0)	(62.0, 2814617.5)	(63.0, 2360191.0)	(64.0, 1981729.5)	(65.0, 1661547.5)	(66.0, 1386935.0)	(67.0, 1150802.5)	(68.0, 949149.0)	(69.0, 783074.5)	(70.0, 649393.5)	(71.0, 543573.0)	(72.0, 459989.5)	(73.0, 390664.5)	(74.0, 328675.0)	(75.0, 277992.5)	(76.0, 238103.5)	(77.0, 205694.5)	(78.0, 181518.5)	(79.0, 159502.0)	(80.0, 136779.0)	(81.0, 117137.0)	(82.0, 98872.5)	(83.0, 81730.0)	(84.0, 70342.5)	(85.0, 61416.0)	(86.0, 51197.5)	(87.0, 41201.5)	(88.0, 32719.5)	(89.0, 25519.5)	(90.0, 20300.0)	(91.0, 16434.5)	(92.0, 13603.0)	(93.0, 11349.0)	(94.0, 9652.0)	(95.0, 8380.0)	(96.0, 7544.5)	(97.0, 7186.5)	(98.0, 7370.5)	(99.0, 9486.0)	(100.0, 14160.5)
P4107_1003_S3_L004_R1_001	(0.0, 4658.0)	(1.0, 4544.5)	(2.0, 5186.5)	(3.0, 7085.0)	(4.0, 9415.5)	(5.0, 11938.5)	(6.0, 18437.0)	(7.0, 29265.0)	(8.0, 42774.5)	(9.0, 52876.5)	(10.0, 63378.5)	(11.0, 85558.5)	(12.0, 120221.0)	(13.0, 157170.5)	(14.0, 192832.0)	(15.0, 245523.0)	(16.0, 323102.0)	(17.0, 446677.0)	(18.0, 649500.5)	(19.0, 948564.0)	(20.0, 1360235.0)	(21.0, 1888605.0)	(22.0, 2527760.5)	(23.0, 3272964.5)	(24.0, 4127209.5)	(25.0, 5094959.5)	(26.0, 6151764.5)	(27.0, 7260238.0)	(28.0, 8407548.0)	(29.0, 9566471.5)	(30.0, 10687273.5)	(31.0, 11758748.0)	(32.0, 12804191.5)	(33.0, 13805905.5)	(34.0, 14727712.0)	(35.0, 15585080.5)	(36.0, 16374484.0)	(37.0, 16952170.0)	(38.0, 17177579.5)	(39.0, 17067127.0)	(40.0, 16677434.5)	(41.0, 16016786.0)	(42.0, 15118808.0)	(43.0, 14121223.5)	(44.0, 13192230.0)	(45.0, 12433874.0)	(46.0, 11835754.5)	(47.0, 11384294.5)	(48.0, 11026719.5)	(49.0, 10633079.0)	(50.0, 10133225.0)	(51.0, 9538431.5)	(52.0, 8895944.0)	(53.0, 8242808.5)	(54.0, 7619290.5)	(55.0, 7062450.0)	(56.0, 6536603.5)	(57.0, 5978710.5)	(58.0, 5382976.5)	(59.0, 4738997.0)	(60.0, 4063009.5)	(61.0, 3423519.5)	(62.0, 2863743.0)	(63.0, 2393006.0)	(64.0, 2004313.5)	(65.0, 1679017.0)	(66.0, 1400222.0)	(67.0, 1159955.0)	(68.0, 955384.0)	(69.0, 786243.5)	(70.0, 650951.5)	(71.0, 544227.0)	(72.0, 458777.5)	(73.0, 386679.0)	(74.0, 321739.0)	(75.0, 270789.0)	(76.0, 231178.0)	(77.0, 198460.5)	(78.0, 174816.0)	(79.0, 153453.0)	(80.0, 129289.0)	(81.0, 108008.0)	(82.0, 89797.0)	(83.0, 73313.5)	(84.0, 63332.5)	(85.0, 55071.0)	(86.0, 43663.5)	(87.0, 32275.0)	(88.0, 22745.5)	(89.0, 15147.5)	(90.0, 11081.0)	(91.0, 8261.0)	(92.0, 6027.0)	(93.0, 4176.0)	(94.0, 3032.5)	(95.0, 2353.0)	(96.0, 1812.5)	(97.0, 1415.0)	(98.0, 1280.5)	(99.0, 1278.0)	(100.0, 1384.5)
P4107_1003_S3_L004_R2_001	(0.0, 4650.0)	(1.0, 5024.5)	(2.0, 6274.5)	(3.0, 8277.5)	(4.0, 10696.0)	(5.0, 13432.5)	(6.0, 19911.5)	(7.0, 31002.0)	(8.0, 44779.5)	(9.0, 55635.0)	(10.0, 66888.5)	(11.0, 88608.0)	(12.0, 123164.5)	(13.0, 160890.5)	(14.0, 197767.0)	(15.0, 251220.0)	(16.0, 330021.0)	(17.0, 454697.0)	(18.0, 658075.0)	(19.0, 958740.5)	(20.0, 1369502.0)	(21.0, 1897405.5)	(22.0, 2539817.0)	(23.0, 3287594.5)	(24.0, 4144013.0)	(25.0, 5114387.0)	(26.0, 6173989.0)	(27.0, 7289810.5)	(28.0, 8442659.5)	(29.0, 9603912.5)	(30.0, 10726553.5)	(31.0, 11799009.5)	(32.0, 12844713.0)	(33.0, 13834955.0)	(34.0, 14738569.5)	(35.0, 15574621.5)	(36.0, 16327965.5)	(37.0, 16872648.0)	(38.0, 17071637.5)	(39.0, 16941006.0)	(40.0, 16553074.0)	(41.0, 15925915.5)	(42.0, 15083820.0)	(43.0, 14150863.5)	(44.0, 13285468.5)	(45.0, 12571539.0)	(46.0, 12012575.5)	(47.0, 11578634.0)	(48.0, 11207459.5)	(49.0, 10789960.0)	(50.0, 10236450.0)	(51.0, 9563940.5)	(52.0, 8828262.5)	(53.0, 8090446.0)	(54.0, 7418373.5)	(55.0, 6837067.0)	(56.0, 6315055.5)	(57.0, 5790296.5)	(58.0, 5238677.5)	(59.0, 4641364.0)	(60.0, 4012083.0)	(61.0, 3401649.0)	(62.0, 2857975.5)	(63.0, 2400650.0)	(64.0, 2018312.5)	(65.0, 1694909.0)	(66.0, 1418009.5)	(67.0, 1178767.0)	(68.0, 974867.5)	(69.0, 805433.0)	(70.0, 667959.0)	(71.0, 559361.0)	(72.0, 474950.0)	(73.0, 403982.5)	(74.0, 339140.5)	(75.0, 286941.5)	(76.0, 245056.5)	(77.0, 212000.5)	(78.0, 188028.5)	(79.0, 165218.0)	(80.0, 141344.0)	(81.0, 120547.5)	(82.0, 101660.5)	(83.0, 84194.0)	(84.0, 72896.0)	(85.0, 63623.5)	(86.0, 52886.0)	(87.0, 42362.0)	(88.0, 32826.5)	(89.0, 25123.5)	(90.0, 19985.5)	(91.0, 16215.0)	(92.0, 13463.0)	(93.0, 11252.5)	(94.0, 9649.0)	(95.0, 8497.5)	(96.0, 7559.5)	(97.0, 7158.5)	(98.0, 7360.0)	(99.0, 9604.5)	(100.0, 14949.0)
P4107_1004_S4_L005_R1_001	(0.0, 5934.0)	(1.0, 5714.0)	(2.0, 6433.0)	(3.0, 8654.5)	(4.0, 11339.0)	(5.0, 14205.0)	(6.0, 21991.5)	(7.0, 34895.5)	(8.0, 51055.0)	(9.0, 63652.5)	(10.0, 76186.0)	(11.0, 102407.5)	(12.0, 145003.0)	(13.0, 189306.5)	(14.0, 230738.5)	(15.0, 294227.0)	(16.0, 387180.5)	(17.0, 534469.5)	(18.0, 780896.5)	(19.0, 1146370.0)	(20.0, 1647312.0)	(21.0, 2284312.5)	(22.0, 3054915.0)	(23.0, 3955172.5)	(24.0, 4974421.5)	(25.0, 6128258.5)	(26.0, 7391674.5)	(27.0, 8715718.5)	(28.0, 10080978.5)	(29.0, 11448659.5)	(30.0, 12773496.5)	(31.0, 14030639.5)	(32.0, 15243803.5)	(33.0, 16399036.5)	(34.0, 17454991.0)	(35.0, 18429973.5)	(36.0, 19320535.0)	(37.0, 19952466.5)	(38.0, 20164792.5)	(39.0, 19985590.5)	(40.0, 19461679.5)	(41.0, 18624456.5)	(42.0, 17524839.0)	(43.0, 16313769.0)	(44.0, 15186505.5)	(45.0, 14251544.5)	(46.0, 13502024.5)	(47.0, 12929070.0)	(48.0, 12444534.5)	(49.0, 11919604.0)	(50.0, 11291735.0)	(51.0, 10548069.0)	(52.0, 9760784.5)	(53.0, 8987941.5)	(54.0, 8278435.5)	(55.0, 7669205.5)	(56.0, 7108364.0)	(57.0, 6520786.5)	(58.0, 5892353.5)	(59.0, 5201342.5)	(60.0, 4471219.5)	(61.0, 3769510.5)	(62.0, 3149765.5)	(63.0, 2628953.5)	(64.0, 2196245.0)	(65.0, 1838796.5)	(66.0, 1532539.5)	(67.0, 1268723.0)	(68.0, 1043195.5)	(69.0, 856375.0)	(70.0, 708379.5)	(71.0, 591782.0)	(72.0, 499695.0)	(73.0, 421205.5)	(74.0, 350883.0)	(75.0, 295879.5)	(76.0, 252431.0)	(77.0, 218037.5)	(78.0, 192055.5)	(79.0, 167705.0)	(80.0, 140854.5)	(81.0, 118223.0)	(82.0, 99472.0)	(83.0, 81029.5)	(84.0, 69713.5)	(85.0, 60293.5)	(86.0, 48060.5)	(87.0, 36315.0)	(88.0, 26141.5)	(89.0, 17828.5)	(90.0, 13113.5)	(91.0, 9805.0)	(92.0, 7185.0)	(93.0, 5176.5)	(94.0, 3884.0)	(95.0, 2947.0)	(96.0, 2231.5)	(97.0, 1867.5)	(98.0, 1858.0)	(99.0, 1836.0)	(100.0, 1811.0)
P4107_1004_S4_L005_R2_001	(0.0, 6796.0)	(1.0, 7124.0)	(2.0, 8391.0)	(3.0, 10616.0)	(4.0, 13381.5)	(5.0, 16640.0)	(6.0, 25070.5)	(7.0, 38942.5)	(8.0, 56062.0)	(9.0, 69228.0)	(10.0, 82257.0)	(11.0, 108644.5)	(12.0, 151401.0)	(13.0, 197613.5)	(14.0, 243043.0)	(15.0, 309076.5)	(16.0, 407534.0)	(17.0, 565055.0)	(18.0, 820233.5)	(19.0, 1194430.0)	(20.0, 1706062.0)	(21.0, 2361493.5)	(22.0, 3157680.5)	(23.0, 4083211.5)	(24.0, 5135380.0)	(25.0, 6325594.0)	(26.0, 7626020.0)	(27.0, 8984935.0)	(28.0, 10374325.5)	(29.0, 11771676.0)	(30.0, 13114918.0)	(31.0, 14378673.5)	(32.0, 15596159.0)	(33.0, 16733407.0)	(34.0, 17753041.0)	(35.0, 18667935.5)	(36.0, 19472587.0)	(37.0, 20009321.0)	(38.0, 20126866.5)	(39.0, 19867355.5)	(40.0, 19293327.5)	(41.0, 18434515.5)	(42.0, 17337789.0)	(43.0, 16149321.0)	(44.0, 15039337.0)	(45.0, 14111414.5)	(46.0, 13363281.5)	(47.0, 12757637.5)	(48.0, 12241336.0)	(49.0, 11706591.0)	(50.0, 11059461.5)	(51.0, 10304823.5)	(52.0, 9507642.5)	(53.0, 8728951.0)	(54.0, 8023796.0)	(55.0, 7412300.5)	(56.0, 6855085.5)	(57.0, 6287669.0)	(58.0, 5687873.5)	(59.0, 5032391.0)	(60.0, 4342794.0)	(61.0, 3683150.0)	(62.0, 3098206.5)	(63.0, 2599273.5)	(64.0, 2184231.5)	(65.0, 1833854.5)	(66.0, 1531344.0)	(67.0, 1271675.5)	(68.0, 1050186.0)	(69.0, 867574.0)	(70.0, 719813.0)	(71.0, 604165.5)	(72.0, 512960.0)	(73.0, 436702.5)	(74.0, 368084.5)	(75.0, 312150.5)	(76.0, 267291.5)	(77.0, 231314.0)	(78.0, 205483.0)	(79.0, 181433.5)	(80.0, 155773.0)	(81.0, 132976.5)	(82.0, 112333.0)	(83.0, 93067.0)	(84.0, 79918.5)	(85.0, 69332.0)	(86.0, 57819.5)	(87.0, 47406.5)	(88.0, 37644.5)	(89.0, 28560.0)	(90.0, 22647.5)	(91.0, 18411.0)	(92.0, 14880.5)	(93.0, 11990.5)	(94.0, 10093.0)	(95.0, 8699.5)	(96.0, 7549.5)	(97.0, 6839.5)	(98.0, 6667.0)	(99.0, 8349.0)	(100.0, 14238.5)
P4107_1005_S5_L006_R1_001	(0.0, 5524.0)	(1.0, 5335.5)	(2.0, 6017.5)	(3.0, 8153.0)	(4.0, 10605.0)	(5.0, 13318.0)	(6.0, 20758.5)	(7.0, 32788.5)	(8.0, 47823.0)	(9.0, 59319.5)	(10.0, 70997.5)	(11.0, 95549.5)	(12.0, 135012.5)	(13.0, 177035.0)	(14.0, 217179.5)	(15.0, 277593.5)	(16.0, 366970.0)	(17.0, 508355.5)	(18.0, 742322.0)	(19.0, 1086750.5)	(20.0, 1557898.0)	(21.0, 2162273.0)	(22.0, 2890448.5)	(23.0, 3739932.5)	(24.0, 4714006.5)	(25.0, 5814489.0)	(26.0, 7015255.0)	(27.0, 8275069.5)	(28.0, 9578663.5)	(29.0, 10892233.0)	(30.0, 12161494.5)	(31.0, 13376743.0)	(32.0, 14560708.0)	(33.0, 15691440.5)	(34.0, 16738126.5)	(35.0, 17708087.5)	(36.0, 18594189.0)	(37.0, 19234589.0)	(38.0, 19473433.5)	(39.0, 19331448.0)	(40.0, 18864914.0)	(41.0, 18100101.0)	(42.0, 17067489.5)	(43.0, 15922091.0)	(44.0, 14851851.5)	(45.0, 13967093.0)	(46.0, 13260257.5)	(47.0, 12721055.5)	(48.0, 12282923.0)	(49.0, 11795732.0)	(50.0, 11193458.0)	(51.0, 10483640.0)	(52.0, 9726971.5)	(53.0, 8972912.0)	(54.0, 8270680.0)	(55.0, 7662890.5)	(56.0, 7100460.5)	(57.0, 6506711.5)	(58.0, 5875062.0)	(59.0, 5186178.0)	(60.0, 4453922.5)	(61.0, 3756489.5)	(62.0, 3138989.5)	(63.0, 2617089.5)	(64.0, 2190075.5)	(65.0, 1832095.5)	(66.0, 1523973.5)	(67.0, 1260507.5)	(68.0, 1036253.5)	(69.0, 850529.5)	(70.0, 701702.0)	(71.0, 584555.5)	(72.0, 493106.5)	(73.0, 415233.5)	(74.0, 345371.5)	(75.0, 291122.0)	(76.0, 246497.5)	(77.0, 211180.5)	(78.0, 186582.5)	(79.0, 163706.0)	(80.0, 138073.5)	(81.0, 115775.5)	(82.0, 96340.5)	(83.0, 78197.5)	(84.0, 67211.5)	(85.0, 58215.0)	(86.0, 46283.5)	(87.0, 34724.0)	(88.0, 24972.5)	(89.0, 16958.5)	(90.0, 12548.5)	(91.0, 9392.0)	(92.0, 6833.0)	(93.0, 4921.0)	(94.0, 3724.5)	(95.0, 2861.0)	(96.0, 2177.0)	(97.0, 1820.0)	(98.0, 1736.5)	(99.0, 1603.5)	(100.0, 1599.5)
P4107_1005_S5_L006_R2_001	(0.0, 5796.0)	(1.0, 5875.5)	(2.0, 7018.5)	(3.0, 9590.0)	(4.0, 12596.0)	(5.0, 15996.5)	(6.0, 23644.5)	(7.0, 36598.0)	(8.0, 53009.5)	(9.0, 65605.0)	(10.0, 78782.5)	(11.0, 104535.0)	(12.0, 144840.5)	(13.0, 188486.0)	(14.0, 232239.0)	(15.0, 296963.0)	(16.0, 392635.5)	(17.0, 543095.5)	(18.0, 782869.0)	(19.0, 1136285.0)	(20.0, 1620572.0)	(21.0, 2236533.0)	(22.0, 2981339.5)	(23.0, 3849382.0)	(24.0, 4842153.5)	(25.0, 5963925.5)	(26.0, 7187659.5)	(27.0, 8470041.5)	(28.0, 9790383.0)	(29.0, 11119576.5)	(30.0, 12399120.0)	(31.0, 13615680.5)	(32.0, 14791596.5)	(33.0, 15897439.0)	(34.0, 16901379.5)	(35.0, 17820614.0)	(36.0, 18633558.5)	(37.0, 19192820.0)	(38.0, 19370330.0)	(39.0, 19173048.0)	(40.0, 18668299.0)	(41.0, 17900081.5)	(42.0, 16895400.5)	(43.0, 15792141.5)	(44.0, 14763065.5)	(45.0, 13898129.5)	(46.0, 13199671.0)	(47.0, 12656473.5)	(48.0, 12193884.0)	(49.0, 11689560.5)	(50.0, 11073064.5)	(51.0, 10339360.0)	(52.0, 9551711.5)	(53.0, 8779991.0)	(54.0, 8067256.0)	(55.0, 7450707.0)	(56.0, 6890328.5)	(57.0, 6312561.5)	(58.0, 5710384.0)	(59.0, 5053268.0)	(60.0, 4362307.5)	(61.0, 3701870.5)	(62.0, 3110882.0)	(63.0, 2610002.0)	(64.0, 2191882.5)	(65.0, 1840038.5)	(66.0, 1538070.0)	(67.0, 1275569.0)	(68.0, 1053232.0)	(69.0, 869379.5)	(70.0, 720688.0)	(71.0, 603645.5)	(72.0, 512288.0)	(73.0, 436452.5)	(74.0, 366542.5)	(75.0, 309949.5)	(76.0, 265027.0)	(77.0, 228108.5)	(78.0, 201969.0)	(79.0, 178477.0)	(80.0, 153914.0)	(81.0, 132637.5)	(82.0, 112239.0)	(83.0, 92998.5)	(84.0, 80127.0)	(85.0, 69876.0)	(86.0, 58863.0)	(87.0, 48227.0)	(88.0, 38468.5)	(89.0, 30027.0)	(90.0, 24394.0)	(91.0, 19984.0)	(92.0, 16540.0)	(93.0, 13995.5)	(94.0, 12142.5)	(95.0, 10727.0)	(96.0, 9531.5)	(97.0, 8725.0)	(98.0, 8606.0)	(99.0, 10664.0)	(100.0, 17309.5)
