Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
P4107_1001_S1_L002_R1_001	(10.0, 1.0)	(11.0, 85.0)	(12.0, 152.0)	(13.0, 277.0)	(14.0, 663.0)	(15.0, 1850.0)	(16.0, 5120.0)	(17.0, 13718.0)	(18.0, 33803.0)	(19.0, 73443.0)	(20.0, 137755.0)	(21.0, 236546.0)	(22.0, 409644.0)	(23.0, 895497.0)	(24.0, 2262774.0)	(25.0, 2369131.0)	(26.0, 1473891.0)	(27.0, 1539821.0)	(28.0, 1921324.0)	(29.0, 2438467.0)	(30.0, 3081150.0)	(31.0, 3867574.0)	(32.0, 4804472.0)	(33.0, 5901671.0)	(34.0, 7187972.0)	(35.0, 8713395.0)	(36.0, 10619375.0)	(37.0, 13192218.0)	(38.0, 17111250.0)	(39.0, 24573419.0)	(40.0, 46944562.0)	(41.0, 223781736.0)								
P4107_1001_S1_L002_R2_001	(7.0, 2.0)	(8.0, 13.0)	(9.0, 121.0)	(10.0, 702.0)	(11.0, 3962.0)	(12.0, 11946.0)	(13.0, 33566.0)	(14.0, 77653.0)	(15.0, 157422.0)	(16.0, 294209.0)	(17.0, 492475.0)	(18.0, 720687.0)	(19.0, 963842.0)	(20.0, 1219092.0)	(21.0, 1516173.0)	(22.0, 1885944.0)	(23.0, 2388458.0)	(24.0, 3233075.0)	(25.0, 4949305.0)	(26.0, 4684978.0)	(27.0, 4090747.0)	(28.0, 4478935.0)	(29.0, 5015234.0)	(30.0, 5656014.0)	(31.0, 6451225.0)	(32.0, 7424908.0)	(33.0, 8637645.0)	(34.0, 10176351.0)	(35.0, 12193425.0)	(36.0, 14987094.0)	(37.0, 19130838.0)	(38.0, 26042098.0)	(39.0, 39815694.0)	(40.0, 76771779.0)	(41.0, 120087144.0)					
P4107_1002_S2_L003_R1_001	(10.0, 2.0)	(11.0, 81.0)	(12.0, 149.0)	(13.0, 284.0)	(14.0, 791.0)	(15.0, 2385.0)	(16.0, 5934.0)	(17.0, 14369.0)	(18.0, 33799.0)	(19.0, 73283.0)	(20.0, 133149.0)	(21.0, 219686.0)	(22.0, 352733.0)	(23.0, 674801.0)	(24.0, 1636426.0)	(25.0, 1815495.0)	(26.0, 1177254.0)	(27.0, 1316424.0)	(28.0, 1697343.0)	(29.0, 2196752.0)	(30.0, 2796388.0)	(31.0, 3501628.0)	(32.0, 4341168.0)	(33.0, 5315964.0)	(34.0, 6471311.0)	(35.0, 7859806.0)	(36.0, 9607908.0)	(37.0, 12039536.0)	(38.0, 15887094.0)	(39.0, 23584975.0)	(40.0, 49054976.0)	(41.0, 278373630.0)								
P4107_1002_S2_L003_R2_001	(4.0, 25.0)	(5.0, 139.0)	(6.0, 585.0)	(7.0, 1304.0)	(8.0, 2821.0)	(9.0, 2098.0)	(10.0, 2606.0)	(11.0, 6814.0)	(12.0, 16942.0)	(13.0, 37242.0)	(14.0, 73652.0)	(15.0, 142281.0)	(16.0, 260519.0)	(17.0, 436736.0)	(18.0, 643278.0)	(19.0, 858052.0)	(20.0, 1079212.0)	(21.0, 1331165.0)	(22.0, 1635514.0)	(23.0, 2065815.0)	(24.0, 2771904.0)	(25.0, 4013731.0)	(26.0, 3899894.0)	(27.0, 3734971.0)	(28.0, 4188151.0)	(29.0, 4732353.0)	(30.0, 5379255.0)	(31.0, 6196752.0)	(32.0, 7216376.0)	(33.0, 8511646.0)	(34.0, 10214246.0)	(35.0, 12531450.0)	(36.0, 15780505.0)	(37.0, 20674446.0)	(38.0, 29362020.0)	(39.0, 47669147.0)	(40.0, 93655368.0)	(41.0, 141056509.0)		
P4107_1003_S3_L004_R1_001	(11.0, 53.0)	(12.0, 131.0)	(13.0, 241.0)	(14.0, 713.0)	(15.0, 2300.0)	(16.0, 6178.0)	(17.0, 15427.0)	(18.0, 35973.0)	(19.0, 74954.0)	(20.0, 133756.0)	(21.0, 214521.0)	(22.0, 332873.0)	(23.0, 625270.0)	(24.0, 1873645.0)	(25.0, 2263770.0)	(26.0, 1288657.0)	(27.0, 1362434.0)	(28.0, 1720050.0)	(29.0, 2211087.0)	(30.0, 2812069.0)	(31.0, 3521357.0)	(32.0, 4366396.0)	(33.0, 5352039.0)	(34.0, 6527855.0)	(35.0, 7951809.0)	(36.0, 9782576.0)	(37.0, 12356832.0)	(38.0, 16488919.0)	(39.0, 24750325.0)	(40.0, 50915004.0)	(41.0, 274391786.0)									
P4107_1003_S3_L004_R2_001	(2.0, 122.0)	(3.0, 1589.0)	(4.0, 951.0)	(5.0, 1565.0)	(6.0, 2176.0)	(7.0, 1385.0)	(8.0, 1161.0)	(9.0, 1775.0)	(10.0, 3420.0)	(11.0, 8565.0)	(12.0, 17777.0)	(13.0, 34993.0)	(14.0, 62233.0)	(15.0, 112126.0)	(16.0, 196261.0)	(17.0, 319854.0)	(18.0, 470290.0)	(19.0, 632629.0)	(20.0, 813146.0)	(21.0, 1015856.0)	(22.0, 1249237.0)	(23.0, 1545151.0)	(24.0, 2091000.0)	(25.0, 3910028.0)	(26.0, 4151308.0)	(27.0, 3336053.0)	(28.0, 3666094.0)	(29.0, 4157302.0)	(30.0, 4742235.0)	(31.0, 5485205.0)	(32.0, 6413981.0)	(33.0, 7581057.0)	(34.0, 9092836.0)	(35.0, 11097604.0)	(36.0, 13932752.0)	(37.0, 18295725.0)	(38.0, 25882029.0)	(39.0, 41882886.0)	(40.0, 88952958.0)	(41.0, 170215685.0)
P4107_1004_S4_L005_R1_001	(10.0, 8.0)	(11.0, 240.0)	(12.0, 415.0)	(13.0, 592.0)	(14.0, 1176.0)	(15.0, 3243.0)	(16.0, 7274.0)	(17.0, 15521.0)	(18.0, 32396.0)	(19.0, 63717.0)	(20.0, 110921.0)	(21.0, 171625.0)	(22.0, 255367.0)	(23.0, 435504.0)	(24.0, 1104544.0)	(25.0, 1341224.0)	(26.0, 827368.0)	(27.0, 954386.0)	(28.0, 1232766.0)	(29.0, 1588433.0)	(30.0, 2009942.0)	(31.0, 2505847.0)	(32.0, 3106641.0)	(33.0, 3835395.0)	(34.0, 4730571.0)	(35.0, 5885516.0)	(36.0, 7446809.0)	(37.0, 9790707.0)	(38.0, 13723853.0)	(39.0, 22000798.0)	(40.0, 50029383.0)	(41.0, 364953217.0)								
P4107_1004_S4_L005_R2_001	(2.0, 2738.0)	(3.0, 833.0)	(4.0, 1155.0)	(5.0, 883.0)	(6.0, 545.0)	(7.0, 618.0)	(8.0, 510.0)	(9.0, 587.0)	(10.0, 1469.0)	(11.0, 6142.0)	(12.0, 12110.0)	(13.0, 25827.0)	(14.0, 50955.0)	(15.0, 99376.0)	(16.0, 184428.0)	(17.0, 306561.0)	(18.0, 450095.0)	(19.0, 601884.0)	(20.0, 765854.0)	(21.0, 950290.0)	(22.0, 1167796.0)	(23.0, 1432121.0)	(24.0, 1833307.0)	(25.0, 2896869.0)	(26.0, 3222302.0)	(27.0, 3014990.0)	(28.0, 3405926.0)	(29.0, 3863091.0)	(30.0, 4423691.0)	(31.0, 5130777.0)	(32.0, 6021173.0)	(33.0, 7161873.0)	(34.0, 8669292.0)	(35.0, 10773047.0)	(36.0, 13871351.0)	(37.0, 18904612.0)	(38.0, 28250789.0)	(39.0, 49887682.0)	(40.0, 118452177.0)	(41.0, 202319673.0)
P4107_1005_S5_L006_R1_001	(10.0, 7.0)	(11.0, 285.0)	(12.0, 443.0)	(13.0, 627.0)	(14.0, 1266.0)	(15.0, 3240.0)	(16.0, 7428.0)	(17.0, 16126.0)	(18.0, 34021.0)	(19.0, 70637.0)	(20.0, 125633.0)	(21.0, 199860.0)	(22.0, 308756.0)	(23.0, 550398.0)	(24.0, 1399094.0)	(25.0, 1618737.0)	(26.0, 1045724.0)	(27.0, 1203691.0)	(28.0, 1541406.0)	(29.0, 1961176.0)	(30.0, 2447292.0)	(31.0, 3014881.0)	(32.0, 3700432.0)	(33.0, 4519480.0)	(34.0, 5506760.0)	(35.0, 6752049.0)	(36.0, 8384246.0)	(37.0, 10750143.0)	(38.0, 14620398.0)	(39.0, 22577190.0)	(40.0, 48670759.0)	(41.0, 343201241.0)								
P4107_1005_S5_L006_R2_001	(2.0, 1.0)	(3.0, 119.0)	(4.0, 686.0)	(5.0, 624.0)	(6.0, 955.0)	(7.0, 661.0)	(8.0, 730.0)	(9.0, 1166.0)	(10.0, 3056.0)	(11.0, 11132.0)	(12.0, 26048.0)	(13.0, 54367.0)	(14.0, 99661.0)	(15.0, 176234.0)	(16.0, 296539.0)	(17.0, 454566.0)	(18.0, 631059.0)	(19.0, 817658.0)	(20.0, 1013795.0)	(21.0, 1236375.0)	(22.0, 1500932.0)	(23.0, 1829820.0)	(24.0, 2338522.0)	(25.0, 3607447.0)	(26.0, 3825112.0)	(27.0, 3602005.0)	(28.0, 4043534.0)	(29.0, 4569951.0)	(30.0, 5196655.0)	(31.0, 5974887.0)	(32.0, 6943973.0)	(33.0, 8150541.0)	(34.0, 9720403.0)	(35.0, 11870874.0)	(36.0, 14962601.0)	(37.0, 19846197.0)	(38.0, 28547559.0)	(39.0, 47793557.0)	(40.0, 106696068.0)	(41.0, 188387356.0)
P4107_1006_S6_L007_R1_001	(10.0, 8.0)	(11.0, 288.0)	(12.0, 397.0)	(13.0, 569.0)	(14.0, 1231.0)	(15.0, 2952.0)	(16.0, 7273.0)	(17.0, 16771.0)	(18.0, 38469.0)	(19.0, 80892.0)	(20.0, 146039.0)	(21.0, 236470.0)	(22.0, 373849.0)	(23.0, 663502.0)	(24.0, 1343274.0)	(25.0, 1486357.0)	(26.0, 1254746.0)	(27.0, 1528515.0)	(28.0, 1991213.0)	(29.0, 2562552.0)	(30.0, 3234457.0)	(31.0, 4008452.0)	(32.0, 4921577.0)	(33.0, 5982886.0)	(34.0, 7223960.0)	(35.0, 8724577.0)	(36.0, 10669883.0)	(37.0, 13402705.0)	(38.0, 17774963.0)	(39.0, 26480883.0)	(40.0, 53649206.0)	(41.0, 285429694.0)								
P4107_1006_S6_L007_R2_001	(2.0, 257.0)	(3.0, 140.0)	(4.0, 247.0)	(5.0, 640.0)	(6.0, 2061.0)	(7.0, 3876.0)	(8.0, 2156.0)	(9.0, 2675.0)	(10.0, 4007.0)	(11.0, 12792.0)	(12.0, 32360.0)	(13.0, 76898.0)	(14.0, 154000.0)	(15.0, 268598.0)	(16.0, 434660.0)	(17.0, 649473.0)	(18.0, 893546.0)	(19.0, 1157234.0)	(20.0, 1435336.0)	(21.0, 1749248.0)	(22.0, 2107005.0)	(23.0, 2535756.0)	(24.0, 3153180.0)	(25.0, 4218597.0)	(26.0, 4401416.0)	(27.0, 4510035.0)	(28.0, 5050153.0)	(29.0, 5670374.0)	(30.0, 6412524.0)	(31.0, 7305795.0)	(32.0, 8413673.0)	(33.0, 9793420.0)	(34.0, 11569918.0)	(35.0, 13951919.0)	(36.0, 17319076.0)	(37.0, 22462006.0)	(38.0, 31296445.0)	(39.0, 49758271.0)	(40.0, 100055550.0)	(41.0, 136373293.0)
