Sample	Unique Reads	Duplicate Reads
P4107_1001_S1_L002_R1_001	365674664.0	17918092.0
P4107_1001_S1_L002_R2_001	369425556.0	14167200.0
P4107_1002_S2_L003_R1_001	415818141.0	14367383.0
P4107_1002_S2_L003_R2_001	420901795.0	9283729.0
P4107_1003_S3_L004_R1_001	402065046.0	29313954.0
P4107_1003_S3_L004_R2_001	410500763.0	20878237.0
P4107_1004_S4_L005_R1_001	478535552.0	19629847.0
P4107_1004_S4_L005_R2_001	488981456.0	9183943.0
P4107_1005_S5_L006_R1_001	465457718.0	18775708.0
P4107_1005_S5_L006_R2_001	452256304.0	31977122.0
P4107_1006_S6_L007_R1_001	428967905.0	24270705.0
P4107_1006_S6_L007_R2_001	445189627.0	8048983.0
