Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P4107_1001_S1_L002_R1_001	(1.0, 94.12979270333297)	(2.0, 1.8168624824355735)	(3.0, 0.38315188930964644)	(4.0, 0.1853980200975339)	(5.0, 0.1483199717867971)	(6.0, 0.1236012729233154)	(7.0, 0.04944102774843502)	(8.0, 0.06180193290994407)	(9.0, 0.024721032456036744)	('>10', 0.7540989748045157)	('>50', 0.3463387680743853)	('>100', 0.6193290221418883)	('>500', 0.12451394815230483)	('>1k', 0.05074801329134497)	('>5k', 0.013654627313766297)	('>10k+', 1.1682263132215307)
P4107_1001_S1_L002_R2_001	(1.0, 95.55199525143145)	(2.0, 1.087374088251428)	(3.0, 0.24713306805934845)	(4.0, 0.14828139692055586)	(5.0, 0.13592604026319846)	(6.0, 0.08649929698689472)	(7.0, 0.03707151631068243)	(8.0, 0.037071905341515214)	(9.0, 0.024714862917200944)	('>10', 0.5190772246527684)	('>50', 0.2720435279872413)	('>100', 0.5573088535549824)	('>500', 0.03735834600918427)	('>1k', 0.06322477746384567)	('>5k', 0.013134274935384929)	('>10k+', 1.1817855689142631)
P4107_1002_S2_L003_R1_001	(1.0, 95.74832366263489)	(2.0, 1.4035103652532723)	(3.0, 0.24841122919406344)	(4.0, 0.18631015814845117)	(5.0, 0.14904951553552095)	(6.0, 0.03726272614000387)	(7.0, 0.04968409786384256)	(8.0, 0.04968456087738013)	(9.0, 0.012421255973436254)	('>10', 0.5093502138950844)	('>50', 0.1491507060277126)	('>100', 0.6223154672191238)	('>500', 0.11249932290244179)	('>1k', 0.025147619687255367)	('>5k', 0.0)	('>10k+', 0.696879098647565)
P4107_1002_S2_L003_R2_001	(1.0, 97.31746117070257)	(2.0, 0.8322055612758856)	(3.0, 0.11178984696955385)	(4.0, 0.07452725813786741)	(5.0, 0.08694927690920692)	(6.0, 0.04968576342603937)	(7.0, 0.0)	(8.0, 0.03726501607780344)	(9.0, 0.0)	('>10', 0.3851355254043767)	('>50', 0.1242886289080721)	('>100', 0.2862414371719626)	('>500', 0.024993792301641404)	('>1k', 0.025653553127539055)	('>5k', 0.0)	('>10k+', 0.6438031695874814)
P4107_1003_S3_L004_R1_001	(1.0, 90.984104061615)	(2.0, 3.543742125539718)	(3.0, 0.6195411617956669)	(4.0, 0.35933725244927006)	(5.0, 0.16108373117823077)	(6.0, 0.1363029002485554)	(7.0, 0.0743477355355224)	(8.0, 0.02478281152537286)	(9.0, 0.09913217816241036)	('>10', 1.1525886770224356)	('>50', 0.6199327003651913)	('>100', 1.0553190700777042)	('>500', 0.1371614331351406)	('>1k', 0.08820618629730202)	('>5k', 0.013544504019542724)	('>10k+', 0.9308734710329104)
P4107_1003_S3_L004_R2_001	(1.0, 93.74576521167253)	(2.0, 2.3043314197679963)	(3.0, 0.3964478331326403)	(4.0, 0.18583666455468417)	(5.0, 0.06194613578214295)	(6.0, 0.03716803002918226)	(7.0, 0.049557838121507526)	(8.0, 0.012389575718360187)	(9.0, 0.04955876762878759)	('>10', 0.8674186852871104)	('>50', 0.3223430373243331)	('>100', 0.8192799633119188)	('>500', 0.09970456267424188)	('>1k', 0.11448308731396084)	('>5k', 0.01350018043350684)	('>10k+', 0.9202690072471095)
P4107_1004_S4_L005_R1_001	(1.0, 94.62543805340307)	(2.0, 2.10557321819072)	(3.0, 0.6478739314026088)	(4.0, 0.22426587010991184)	(5.0, 0.1370524754188994)	(6.0, 0.08721591822298848)	(7.0, 0.074757106986924)	(8.0, 0.099676950191924)	(9.0, 0.0498388788694074)	('>10', 0.5732149455689484)	('>50', 0.26179101863919335)	('>100', 0.6365725261397052)	('>500', 0.10018344666515303)	('>1k', 0.025162300305306362)	('>5k', 0.0)	('>10k+', 0.3513833598852209)
P4107_1004_S4_L005_R2_001	(1.0, 97.67537643497415)	(2.0, 0.734969209926543)	(3.0, 0.11211484929693101)	(4.0, 0.08720113991728928)	(5.0, 0.11211665335139342)	(6.0, 0.012457506154058356)	(7.0, 0.049830425522168195)	(8.0, 0.0)	(9.0, 0.024915613670774512)	('>10', 0.3239477827770571)	('>50', 0.13709882840581142)	('>100', 0.3244216049290662)	('>500', 0.0)	('>1k', 0.050384168638807625)	('>5k', 0.0)	('>10k+', 0.3551657824359631)
P4107_1005_S5_L006_R1_001	(1.0, 94.78289026444612)	(2.0, 2.05321083810983)	(3.0, 0.49775222138036207)	(4.0, 0.26132208942836643)	(5.0, 0.024888025014002484)	(6.0, 0.07466469596394523)	(7.0, 0.09955375585295055)	(8.0, 0.06222161484891216)	(9.0, 0.03733327937560626)	('>10', 0.6347480284646817)	('>50', 0.2739301618427937)	('>100', 0.5485389262617849)	('>500', 0.1627351961008215)	('>1k', 0.012583721310461437)	('>5k', 0.0)	('>10k+', 0.47362718159929357)
P4107_1005_S5_L006_R2_001	(1.0, 91.02680185354684)	(2.0, 3.520677900072772)	(3.0, 1.0698969243405088)	(4.0, 0.3607822102781069)	(5.0, 0.22393565699535223)	(6.0, 0.037322921384848266)	(7.0, 0.03732323327242777)	(8.0, 0.0746470903228369)	(9.0, 0.07464771410463215)	('>10', 1.3811521840678616)	('>50', 0.43567719385838355)	('>100', 1.0842828726985034)	('>500', 0.06255828734390137)	('>1k', 0.11350750020152353)	('>5k', 0.0)	('>10k+', 0.4967864575115237)
