Sample	total_reads	Cfamiliaris counts	Cfamiliaris percentage	Dmelanogaster counts	Dmelanogaster percentage	Human counts	Human percentage	Mouse counts	Mouse percentage	PhiX counts	PhiX percentage	Xtropicalis counts	Xtropicalis percentage	No hits counts	No hits percentage
P4107_1001_S1_L002_R1_001_screen	199997	0.0	0.0	6670.0	3.34	193400.0	96.7	19626.0	9.81	7.0	0.0	18386.0	9.190000000000001	6539	3.27
P4107_1001_S1_L002_R2_001_screen	199997	0.0	0.0	6496.0	3.24	191235.0	95.62	18910.0	9.46	6.0	0.0	17682.0	8.84	8679	4.34
P4107_1002_S2_L003_R1_001_screen	199994	0.0	0.0	6746.0	3.37	194410.0	97.21000000000001	19885.0	9.94	10.0	0.01	18445.0	9.22	5519	2.76
P4107_1002_S2_L003_R2_001_screen	199994	0.0	0.0	6410.0	3.21	192577.0	96.29	18945.0	9.469999999999999	9.0	0.0	17428.0	8.71	7319	3.66
P4107_1003_S3_L004_R1_001_screen	199991	0.0	0.0	6844.0	3.42	194073.0	97.03999999999999	19908.0	9.96	7.0	0.0	18643.0	9.32	5879	2.94
P4107_1003_S3_L004_R2_001_screen	199991	0.0	0.0	6648.0	3.33	192581.0	96.30000000000001	19335.0	9.68	4.0	0.0	17998.0	9.0	7319	3.66
P4107_1004_S4_L005_R1_001_screen	199987	0.0	0.0	6618.0	3.31	195268.0	97.64	19807.0	9.9	1.0	0.0	18489.0	9.24	4679	2.34
P4107_1004_S4_L005_R2_001_screen	199987	0.0	0.0	6327.0	3.16	194099.0	97.06	19085.0	9.54	1.0	0.0	17397.0	8.69	5839	2.92
P4107_1005_S5_L006_R1_001_screen	200014	0.0	0.0	6775.0	3.39	194923.0	97.46000000000001	19897.0	9.940000000000001	8.0	0.0	18488.0	9.25	5040	2.52
P4107_1005_S5_L006_R2_001_screen	200014	0.0	0.0	6583.0	3.29	193391.0	96.69	19395.0	9.7	7.0	0.0	17645.0	8.82	6540	3.27
P4107_1006_S6_L007_R1_001_screen	200018	0.0	0.0	6755.0	3.37	194934.0	97.46000000000001	19868.0	9.93	5.0	0.0	18447.0	9.209999999999999	5020	2.51
P4107_1006_S6_L007_R2_001_screen	200018	0.0	0.0	6551.0	3.27	192975.0	96.48000000000002	19092.0	9.55	5.0	0.0	17517.0	8.76	6920	3.46
