Sample	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	qualimap_bamqc-mean_coverage	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-total_reads	snpeff-Change_rate	snpeff-Ts_Tv_ratio	snpeff-Number_of_variants_before_filter	gatk_gatk_varianteval-known_titv	gatk_gatk_varianteval-novel_titv	picard_mark_duplicates-PERCENT_DUPLICATION	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
P4107_1001	41.36746349676451	358	92.29432810535144	92.21025634005906	91.9610844336904	74.66018701572433	5.240211027996628	36	35.78	97.28985936468062	751.147332	772.071557	3244.0	0.0	0.955911	2.07	1.49	6.3884						
P4107_1001.AHJHNYCCXX.P4107_1001.2	41.367465588743215	358	92.29532210731463	92.21183564643461	91.96270123436678	74.6610850413044	5.240741461127802	36	35.78	97.28985936468062	751.147332	772.071557												
P4107_1001_S1_L002_R1_001																			4.671123711267072	41.0	151.0	151	16.666666666666664	383.592756
P4107_1001_S1_L002_R2_001																			3.693292003886029	41.0	151.0	151	16.666666666666664	383.592756
P4107_1002	41.29061839482755	367	92.29794180799979	92.22694426994362	92.07669477353262	82.33885866147037	15.934603451516617	40	40.38	97.81653054978287	847.0675259999999	865.9758439999999	762.0	1.994323	4.067653	2.07	1.48	9.8979						
P4107_1002.AHJHNYCCXX.P4107_1002.3	41.290608709868195	367	92.29890634324677	92.22846151567505	92.07833833282437	82.33999400050565	15.935521078588435	40	40.38	97.81653054978287	847.0675259999999	865.9758439999999												
P4107_1002_S2_L003_R1_001																			3.339811048264494	41.0	151.0	151	16.666666666666664	430.185524
P4107_1002_S2_L003_R2_001																			2.1580757020873165	41.0	151.0	151	16.666666666666664	430.185524
P4107_1003	41.35698208795284	365	92.29751163907807	92.22753318515709	92.07815353718176	82.37846792457299	16.220900002951474	40	40.46	97.62248337302556	847.56241	868.2041069999999	761.0	1.993752	4.072201	2.07	1.47	10.4732						
P4107_1003.AHJHNYCCXX.P4107_1003.4	41.35698641710214	365	92.29849019841865	92.22908063910853	92.07982356493524	82.37956915443348	16.221940010389545	40	40.46	97.62248337302556	847.56241	868.2041069999999												
P4107_1003_S3_L004_R1_001																			6.795406093848555	41.0	151.0	151	8.333333333333332	431.37899999999996
P4107_1003_S3_L004_R2_001																			4.8398827178360335	41.0	151.0	151	8.333333333333332	431.37899999999996
P4107_1004	40.99306639893834	363	92.29608730699667	92.2323784611382	92.0764160970611	84.74393690711297	40.45506563396865	46	47.04	98.23363980405004	985.1153559999999	1002.8289269999999	3228.0	0.0	0.960566	2.07	1.49	39.3866						
P4107_1004.AHJHNYCCXX.P4107_1004.5	40.99306193561335	363	92.29702221433095	92.2338508297701	92.07802345162385	84.74532732345536	40.456148100559076	46	47.04	98.23363980405004	985.1153559999999	1002.8289269999999												
P4107_1004_S4_L005_R1_001																			3.940427809644561	40.0	151.0	151	16.666666666666664	498.165399
P4107_1004_S4_L005_R2_001																			1.8435529894861702	40.0	151.0	151	8.333333333333332	498.165399
P4107_1005	41.17477503107992	368	92.29828148121867	92.2346776709854	92.11250283024343	85.26307080995146	35.61445297024546	45	45.58	98.04765753107331	955.9213169999999	974.955793	762.0	1.993718	4.06962	2.07	1.46	24.4861						
P4107_1005.AHJHNYCCXX.P4107_1005.6	41.17477692276262	368	92.29921345477705	92.23616316101064	92.11413726581452	85.26442350631794	35.61554133662699	45	45.58	98.04765753107331	955.9213169999999	974.955793												
P4107_1005_S5_L006_R1_001																			3.877408686711334	41.0	151.0	151	8.333333333333332	484.23342599999995
P4107_1005_S5_L006_R2_001																			6.603658645191075	41.0	151.0	151	8.333333333333332	484.23342599999995
P4107_1006	41.269984866552605	362	92.29880346765438	92.23074228464515	92.10216755684698	84.09635794292338	23.664833468422913	43	42.59	98.09145739981456	894.970438	912.3836689999999	3190.0	0.0	0.972155	2.07	1.48	12.4364						
P4107_1006.AHJHNYCCXX.P4107_1006.7	41.26998938557406	362	92.29974176011471	92.23222722660235	92.10378052104717	84.09755898564316	23.66584117208675	43	42.59	98.09145739981456	894.970438	912.3836689999999												
P4107_1006_S6_L007_R1_001																			5.354951020160996	41.0	151.0	151	16.666666666666664	453.23861
P4107_1006_S6_L007_R2_001																			1.7758820535142377	41.0	151.0	151	8.333333333333332	453.23861
