Sample	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	gc_percentage	mean_coverage	percentage_aligned
P4107_1001	772071557	751147332	110979222236	110894377611	28931.62	355.0	50.32	40.92	35.78	97.28985936468062
P4107_1001.AHJHNYCCXX.P4107_1001.2	772071557	751147332	110979438880	110896476389	28931.34	355.0	50.31	40.92	35.78	97.28985936468062
P4107_1002	865975844	847067526	125247746115	125167789762	29317.24	364.0	50.33	40.84	40.38	97.81653054978287
P4107_1002.AHJHNYCCXX.P4107_1002.3	865975844	847067526	125247919388	125170115425	29316.94	364.0	50.32	40.84	40.38	97.81653054978287
P4107_1003	868204107	847562410	125495980571	125419666954	28161.14	363.0	50.34	40.91	40.46	97.62248337302556
P4107_1003.AHJHNYCCXX.P4107_1003.4	868204107	847562410	125496205042	125422100103	28160.72	363.0	50.34	40.91	40.46	97.62248337302556
P4107_1004	1002828927	985115356	145914179420	145832795553	28253.13	361.0	50.37	40.55	47.04	98.23363980405004
P4107_1004.AHJHNYCCXX.P4107_1004.5	1002828927	985115356	145914515618	145835606383	28252.39	361.0	50.36	40.55	47.04	98.23363980405004
P4107_1005	974955793	955921317	141381675087	141297632099	30723.18	365.0	50.34	40.73	45.58	98.04765753107331
P4107_1005.AHJHNYCCXX.P4107_1005.6	974955793	955921317	141381907070	141300264098	30722.59	365.0	50.33	40.73	45.58	98.04765753107331
P4107_1006	912383669	894970438	132096608584	132012607144	30869.34	360.0	50.33	40.82	42.59	98.09145739981456
P4107_1006.AHJHNYCCXX.P4107_1006.7	912383669	894970438	132096831838	132015048016	30868.99	360.0	50.32	40.82	42.59	98.09145739981456
