Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84
P4107_1001	(0, 239014896.0)	(1, 679301.0)	(2, 629433.0)	(3, 623176.0)	(4, 675832.0)	(5, 784959.0)	(6, 974130.0)	(7, 1333021.0)	(8, 1893388.0)	(9, 2743328.0)	(10, 3944872.0)	(11, 5494264.0)	(12, 7311066.0)	(13, 9316103.0)	(14, 11354708.0)	(15, 13312247.0)	(16, 14950503.0)	(17, 16334009.0)	(18, 17464018.0)	(19, 18522875.0)	(20, 19693650.0)	(21, 21390076.0)	(22, 23849738.0)	(23, 27458004.0)	(24, 32505726.0)	(25, 39144193.0)	(26, 47425702.0)	(27, 57381205.0)	(28, 68746358.0)	(29, 81040739.0)	(30, 93781997.0)	(31, 106435058.0)	(32, 118318751.0)	(33, 128738675.0)	(34, 137201082.0)	(35, 143189844.0)	(36, 146436571.0)	(37, 146862094.0)	(38, 144521686.0)	(39, 139503866.0)	(40, 132276517.0)	(41, 123203417.0)	(42, 112773733.0)	(43, 101499242.0)	(44, 89840168.0)	(45, 78258473.0)	(46, 67224933.0)	(47, 56841809.0)	(48, 47403891.0)	(49, 38960298.0)	(50, 31609604.0)	(51, 25356434.0)	(52, 20103924.0)	(53, 15757935.0)	(54, 12242276.0)	(55, 9414876.0)	(56, 7197708.0)	(57, 5493377.0)	(58, 4172082.0)	(59, 3181735.0)	(60, 2435028.0)	(61, 1885903.0)	(62, 1482886.0)	(63, 1185955.0)	(64, 967247.0)	(65, 809714.0)	(66, 697074.0)	(67, 616725.0)	(68, 558588.0)	(69, 510670.0)	(70, 474396.0)	(71, 444263.0)	(72, 419185.0)	(73, 401110.0)	(74, 383864.0)	(75, 365284.0)	(76, 349994.0)	(77, 335119.0)	(78, 320025.0)	(79, 307330.0)	(80, 294648.0)	(81, 283619.0)	(82, 271531.0)	(83, 258755.0)	(84, 247692.0)
P4107_1001.AHJHNYCCXX.P4107_1001.2	(0, 238984064.0)	(1, 671706.0)	(2, 624493.0)	(3, 619639.0)	(4, 673749.0)	(5, 782979.0)	(6, 973362.0)	(7, 1332925.0)	(8, 1894123.0)	(9, 2744274.0)	(10, 3946211.0)	(11, 5495556.0)	(12, 7311476.0)	(13, 9316133.0)	(14, 11353474.0)	(15, 13311211.0)	(16, 14950586.0)	(17, 16333348.0)	(18, 17463938.0)	(19, 18523495.0)	(20, 19694754.0)	(21, 21392043.0)	(22, 23852409.0)	(23, 27460255.0)	(24, 32509322.0)	(25, 39146575.0)	(26, 47428598.0)	(27, 57384084.0)	(28, 68747827.0)	(29, 81041056.0)	(30, 93782440.0)	(31, 106433122.0)	(32, 118318443.0)	(33, 128737864.0)	(34, 137200568.0)	(35, 143188320.0)	(36, 146435906.0)	(37, 146862494.0)	(38, 144521446.0)	(39, 139504000.0)	(40, 132277330.0)	(41, 123204317.0)	(42, 112775278.0)	(43, 101500821.0)	(44, 89842141.0)	(45, 78260764.0)	(46, 67226678.0)	(47, 56843093.0)	(48, 47406568.0)	(49, 38961914.0)	(50, 31611394.0)	(51, 25357879.0)	(52, 20105392.0)	(53, 15759052.0)	(54, 12243353.0)	(55, 9415834.0)	(56, 7198437.0)	(57, 5494158.0)	(58, 4172642.0)	(59, 3182076.0)	(60, 2435487.0)	(61, 1886483.0)	(62, 1483217.0)	(63, 1186380.0)	(64, 967688.0)	(65, 810036.0)	(66, 697496.0)	(67, 617061.0)	(68, 558867.0)	(69, 510856.0)	(70, 474523.0)	(71, 444440.0)	(72, 419345.0)	(73, 401188.0)	(74, 383956.0)	(75, 365315.0)	(76, 350065.0)	(77, 335275.0)	(78, 320165.0)	(79, 307457.0)	(80, 294712.0)	(81, 283824.0)	(82, 271594.0)	(83, 258739.0)	(84, 247689.0)
P4107_1002	(0, 238902806.0)	(1, 600465.0)	(2, 537380.0)	(3, 523006.0)	(4, 541354.0)	(5, 593433.0)	(6, 674994.0)	(7, 831518.0)	(8, 1081976.0)	(9, 1478525.0)	(10, 2073827.0)	(11, 2900404.0)	(12, 4017675.0)	(13, 5363232.0)	(14, 6920095.0)	(15, 8604494.0)	(16, 10266049.0)	(17, 11829518.0)	(18, 13182255.0)	(19, 14296149.0)	(20, 15194032.0)	(21, 15892948.0)	(22, 16560559.0)	(23, 17379725.0)	(24, 18595428.0)	(25, 20373358.0)	(26, 22970943.0)	(27, 26617237.0)	(28, 31444043.0)	(29, 37566691.0)	(30, 44956409.0)	(31, 53532894.0)	(32, 63091396.0)	(33, 73348129.0)	(34, 83930840.0)	(35, 94455273.0)	(36, 104479868.0)	(37, 113603434.0)	(38, 121403119.0)	(39, 127539627.0)	(40, 131691705.0)	(41, 133643597.0)	(42, 133534769.0)	(43, 131213968.0)	(44, 126938557.0)	(45, 121031914.0)	(46, 113647570.0)	(47, 105175354.0)	(48, 96019828.0)	(49, 86492084.0)	(50, 76855285.0)	(51, 67420949.0)	(52, 58398183.0)	(53, 49983101.0)	(54, 42283628.0)	(55, 35378934.0)	(56, 29263536.0)	(57, 23964438.0)	(58, 19431795.0)	(59, 15616264.0)	(60, 12450744.0)	(61, 9851379.0)	(62, 7743880.0)	(63, 6054459.0)	(64, 4724827.0)	(65, 3681223.0)	(66, 2876954.0)	(67, 2249620.0)	(68, 1774300.0)	(69, 1422175.0)	(70, 1150100.0)	(71, 954148.0)	(72, 802452.0)	(73, 692182.0)	(74, 610005.0)	(75, 546971.0)	(76, 498885.0)	(77, 462064.0)	(78, 431326.0)	(79, 409176.0)	(80, 388725.0)	(81, 369294.0)	(82, 353575.0)	(83, 341763.0)	(84, 327324.0)
P4107_1002.AHJHNYCCXX.P4107_1002.3	(0, 238872888.0)	(1, 593996.0)	(2, 532224.0)	(3, 519841.0)	(4, 539000.0)	(5, 591294.0)	(6, 673442.0)	(7, 830830.0)	(8, 1081846.0)	(9, 1479116.0)	(10, 2074521.0)	(11, 2901150.0)	(12, 4018860.0)	(13, 5363221.0)	(14, 6920014.0)	(15, 8604153.0)	(16, 10265904.0)	(17, 11829094.0)	(18, 13182290.0)	(19, 14295904.0)	(20, 15193310.0)	(21, 15892946.0)	(22, 16561277.0)	(23, 17380853.0)	(24, 18596126.0)	(25, 20375567.0)	(26, 22973330.0)	(27, 26620093.0)	(28, 31445631.0)	(29, 37570182.0)	(30, 44958967.0)	(31, 53535138.0)	(32, 63093441.0)	(33, 73349412.0)	(34, 83931543.0)	(35, 94454426.0)	(36, 104479597.0)	(37, 113603942.0)	(38, 121401812.0)	(39, 127538929.0)	(40, 131689424.0)	(41, 133642139.0)	(42, 133533527.0)	(43, 131214264.0)	(44, 126938395.0)	(45, 121032308.0)	(46, 113648391.0)	(47, 105175805.0)	(48, 96021558.0)	(49, 86494070.0)	(50, 76857548.0)	(51, 67422730.0)	(52, 58399556.0)	(53, 49984490.0)	(54, 42286219.0)	(55, 35380585.0)	(56, 29265496.0)	(57, 23966102.0)	(58, 19433233.0)	(59, 15617485.0)	(60, 12451829.0)	(61, 9852096.0)	(62, 7744673.0)	(63, 6055291.0)	(64, 4725643.0)	(65, 3682025.0)	(66, 2877621.0)	(67, 2250047.0)	(68, 1774859.0)	(69, 1422374.0)	(70, 1150426.0)	(71, 954514.0)	(72, 802618.0)	(73, 692624.0)	(74, 610244.0)	(75, 547130.0)	(76, 499082.0)	(77, 462128.0)	(78, 431510.0)	(79, 409321.0)	(80, 388810.0)	(81, 369438.0)	(82, 353618.0)	(83, 341729.0)	(84, 327323.0)
P4107_1003	(0, 238916149.0)	(1, 586144.0)	(2, 536001.0)	(3, 519373.0)	(4, 529077.0)	(5, 576240.0)	(6, 662627.0)	(7, 823492.0)	(8, 1081555.0)	(9, 1489551.0)	(10, 2091144.0)	(11, 2937789.0)	(12, 4030061.0)	(13, 5389607.0)	(14, 6929693.0)	(15, 8580534.0)	(16, 10228491.0)	(17, 11762211.0)	(18, 13108421.0)	(19, 14181230.0)	(20, 15037205.0)	(21, 15760908.0)	(22, 16439459.0)	(23, 17261217.0)	(24, 18473148.0)	(25, 20293216.0)	(26, 22908837.0)	(27, 26565887.0)	(28, 31390878.0)	(29, 37495372.0)	(30, 44787423.0)	(31, 53291120.0)	(32, 62725662.0)	(33, 72924793.0)	(34, 83396612.0)	(35, 93834779.0)	(36, 103809494.0)	(37, 112830932.0)	(38, 120569563.0)	(39, 126621176.0)	(40, 130801044.0)	(41, 132880595.0)	(42, 132853153.0)	(43, 130732004.0)	(44, 126674154.0)	(45, 120895104.0)	(46, 113731106.0)	(47, 105399130.0)	(48, 96379779.0)	(49, 86940954.0)	(50, 77406042.0)	(51, 68073430.0)	(52, 59147887.0)	(53, 50746627.0)	(54, 43029204.0)	(55, 36093792.0)	(56, 29936736.0)	(57, 24573079.0)	(58, 19976792.0)	(59, 16090252.0)	(60, 12855436.0)	(61, 10193957.0)	(62, 8032379.0)	(63, 6308134.0)	(64, 4924239.0)	(65, 3844153.0)	(66, 3000122.0)	(67, 2358448.0)	(68, 1862238.0)	(69, 1490477.0)	(70, 1203236.0)	(71, 992919.0)	(72, 837322.0)	(73, 716684.0)	(74, 626487.0)	(75, 557845.0)	(76, 508848.0)	(77, 471307.0)	(78, 442228.0)	(79, 414610.0)	(80, 395256.0)	(81, 376454.0)	(82, 360814.0)	(83, 347790.0)	(84, 333272.0)
P4107_1003.AHJHNYCCXX.P4107_1003.4	(0, 238885796.0)	(1, 578999.0)	(2, 531281.0)	(3, 516067.0)	(4, 526602.0)	(5, 573793.0)	(6, 661539.0)	(7, 822570.0)	(8, 1082005.0)	(9, 1489756.0)	(10, 2091884.0)	(11, 2938836.0)	(12, 4030926.0)	(13, 5389824.0)	(14, 6929525.0)	(15, 8579664.0)	(16, 10227819.0)	(17, 11760438.0)	(18, 13107927.0)	(19, 14180884.0)	(20, 15037044.0)	(21, 15761466.0)	(22, 16441081.0)	(23, 17261781.0)	(24, 18475243.0)	(25, 20295481.0)	(26, 22912222.0)	(27, 26569622.0)	(28, 31393366.0)	(29, 37497918.0)	(30, 44790467.0)	(31, 53293829.0)	(32, 62727037.0)	(33, 72926257.0)	(34, 83396501.0)	(35, 93834615.0)	(36, 103807845.0)	(37, 112829339.0)	(38, 120568947.0)	(39, 126619588.0)	(40, 130799840.0)	(41, 132879634.0)	(42, 132851942.0)	(43, 130730062.0)	(44, 126673017.0)	(45, 120895054.0)	(46, 113732111.0)	(47, 105400656.0)	(48, 96380843.0)	(49, 86942892.0)	(50, 77408006.0)	(51, 68076113.0)	(52, 59149604.0)	(53, 50748280.0)	(54, 43031283.0)	(55, 36095486.0)	(56, 29938871.0)	(57, 24575144.0)	(58, 19978682.0)	(59, 16092240.0)	(60, 12857175.0)	(61, 10195406.0)	(62, 8033266.0)	(63, 6309198.0)	(64, 4924836.0)	(65, 3844402.0)	(66, 3000575.0)	(67, 2358805.0)	(68, 1862550.0)	(69, 1490869.0)	(70, 1203606.0)	(71, 993123.0)	(72, 837614.0)	(73, 717028.0)	(74, 626790.0)	(75, 558140.0)	(76, 509197.0)	(77, 471703.0)	(78, 442417.0)	(79, 414827.0)	(80, 395420.0)	(81, 376616.0)	(82, 360865.0)	(83, 347896.0)	(84, 333405.0)
P4107_1004	(0, 238960329.0)	(1, 520491.0)	(2, 475024.0)	(3, 474722.0)	(4, 505887.0)	(5, 578443.0)	(6, 700061.0)	(7, 880943.0)	(8, 1156965.0)	(9, 1521236.0)	(10, 1987591.0)	(11, 2570147.0)	(12, 3262809.0)	(13, 4020601.0)	(14, 4879264.0)	(15, 5784883.0)	(16, 6715435.0)	(17, 7699946.0)	(18, 8680499.0)	(19, 9654558.0)	(20, 10670225.0)	(21, 11712029.0)	(22, 12825316.0)	(23, 14052495.0)	(24, 15456922.0)	(25, 17083068.0)	(26, 18934549.0)	(27, 21148498.0)	(28, 23672611.0)	(29, 26627741.0)	(30, 29961609.0)	(31, 33710917.0)	(32, 37810497.0)	(33, 42236096.0)	(34, 46963003.0)	(35, 51878470.0)	(36, 56923760.0)	(37, 61943744.0)	(38, 66909375.0)	(39, 71646073.0)	(40, 76106602.0)	(41, 80148179.0)	(42, 83737539.0)	(43, 86721792.0)	(44, 89150594.0)	(45, 90857862.0)	(46, 91919777.0)	(47, 92265626.0)	(48, 91927217.0)	(49, 90935576.0)	(50, 89297888.0)	(51, 87040084.0)	(52, 84335379.0)	(53, 81137924.0)	(54, 77624953.0)	(55, 73736898.0)	(56, 69670499.0)	(57, 65465206.0)	(58, 61123609.0)	(59, 56801538.0)	(60, 52469355.0)	(61, 48271952.0)	(62, 44139724.0)	(63, 40153461.0)	(64, 36410526.0)	(65, 32813133.0)	(66, 29458167.0)	(67, 26329479.0)	(68, 23429653.0)	(69, 20793545.0)	(70, 18385034.0)	(71, 16190073.0)	(72, 14198417.0)	(73, 12423274.0)	(74, 10840804.0)	(75, 9418859.0)	(76, 8183638.0)	(77, 7082819.0)	(78, 6120308.0)	(79, 5273116.0)	(80, 4540121.0)	(81, 3903978.0)	(82, 3355410.0)	(83, 2880463.0)	(84, 2477091.0)
P4107_1004.AHJHNYCCXX.P4107_1004.5	(0, 238931330.0)	(1, 514251.0)	(2, 470324.0)	(3, 471351.0)	(4, 503527.0)	(5, 576984.0)	(6, 698709.0)	(7, 880207.0)	(8, 1156528.0)	(9, 1521033.0)	(10, 1987928.0)	(11, 2570201.0)	(12, 3263076.0)	(13, 4020757.0)	(14, 4879092.0)	(15, 5784607.0)	(16, 6715097.0)	(17, 7699490.0)	(18, 8680475.0)	(19, 9654528.0)	(20, 10669293.0)	(21, 11711764.0)	(22, 12825568.0)	(23, 14052678.0)	(24, 15457729.0)	(25, 17084300.0)	(26, 18935432.0)	(27, 21149965.0)	(28, 23674589.0)	(29, 26629347.0)	(30, 29964079.0)	(31, 33711474.0)	(32, 37811740.0)	(33, 42237661.0)	(34, 46964931.0)	(35, 51878213.0)	(36, 56924564.0)	(37, 61945112.0)	(38, 66909498.0)	(39, 71646195.0)	(40, 76107245.0)	(41, 80147163.0)	(42, 83737322.0)	(43, 86720695.0)	(44, 89150689.0)	(45, 90858168.0)	(46, 91920616.0)	(47, 92265138.0)	(48, 91927451.0)	(49, 90935906.0)	(50, 89297850.0)	(51, 87039901.0)	(52, 84335976.0)	(53, 81138490.0)	(54, 77626058.0)	(55, 73737541.0)	(56, 69671451.0)	(57, 65467186.0)	(58, 61124354.0)	(59, 56802736.0)	(60, 52470574.0)	(61, 48273389.0)	(62, 44141011.0)	(63, 40154902.0)	(64, 36412060.0)	(65, 32814797.0)	(66, 29459961.0)	(67, 26331106.0)	(68, 23431155.0)	(69, 20794007.0)	(70, 18386339.0)	(71, 16191029.0)	(72, 14198963.0)	(73, 12423917.0)	(74, 10841446.0)	(75, 9419401.0)	(76, 8184263.0)	(77, 7083285.0)	(78, 6120795.0)	(79, 5273494.0)	(80, 4540546.0)	(81, 3904270.0)	(82, 3355760.0)	(83, 2880672.0)	(84, 2477324.0)
P4107_1005	(0, 238892270.0)	(1, 541474.0)	(2, 480769.0)	(3, 468752.0)	(4, 481871.0)	(5, 512619.0)	(6, 579593.0)	(7, 689470.0)	(8, 869428.0)	(9, 1138515.0)	(10, 1518989.0)	(11, 2038965.0)	(12, 2711761.0)	(13, 3536263.0)	(14, 4504891.0)	(15, 5595387.0)	(16, 6756019.0)	(17, 7946071.0)	(18, 9094275.0)	(19, 10176734.0)	(20, 11186726.0)	(21, 12091413.0)	(22, 12936255.0)	(23, 13756271.0)	(24, 14584472.0)	(25, 15560470.0)	(26, 16780690.0)	(27, 18345380.0)	(28, 20374515.0)	(29, 22960460.0)	(30, 26138874.0)	(31, 30044659.0)	(32, 34648697.0)	(33, 39920215.0)	(34, 45865762.0)	(35, 52332096.0)	(36, 59224696.0)	(37, 66309450.0)	(38, 73469082.0)	(39, 80508423.0)	(40, 87188998.0)	(41, 93259722.0)	(42, 98620006.0)	(43, 103077627.0)	(44, 106474616.0)	(45, 108731412.0)	(46, 109863287.0)	(47, 109757433.0)	(48, 108485966.0)	(49, 106082160.0)	(50, 102709690.0)	(51, 98469342.0)	(52, 93503648.0)	(53, 87942716.0)	(54, 81927122.0)	(55, 75700502.0)	(56, 69292407.0)	(57, 62944193.0)	(58, 56667192.0)	(59, 50619937.0)	(60, 44844418.0)	(61, 39469947.0)	(62, 34463357.0)	(63, 29929266.0)	(64, 25748869.0)	(65, 22050925.0)	(66, 18757839.0)	(67, 15853769.0)	(68, 13324045.0)	(69, 11141890.0)	(70, 9277583.0)	(71, 7680612.0)	(72, 6346439.0)	(73, 5232014.0)	(74, 4306135.0)	(75, 3541256.0)	(76, 2908343.0)	(77, 2387032.0)	(78, 1968762.0)	(79, 1624395.0)	(80, 1354643.0)	(81, 1137847.0)	(82, 964955.0)	(83, 826352.0)	(84, 712959.0)
P4107_1005.AHJHNYCCXX.P4107_1005.6	(0, 238863362.0)	(1, 534213.0)	(2, 476673.0)	(3, 465608.0)	(4, 479203.0)	(5, 510830.0)	(6, 578107.0)	(7, 688762.0)	(8, 869214.0)	(9, 1138092.0)	(10, 1519265.0)	(11, 2039641.0)	(12, 2712170.0)	(13, 3536626.0)	(14, 4504919.0)	(15, 5595562.0)	(16, 6756558.0)	(17, 7945677.0)	(18, 9094382.0)	(19, 10176715.0)	(20, 11187052.0)	(21, 12090524.0)	(22, 12935929.0)	(23, 13756198.0)	(24, 14584711.0)	(25, 15560928.0)	(26, 16781632.0)	(27, 18346776.0)	(28, 20376514.0)	(29, 22962967.0)	(30, 26140956.0)	(31, 30046820.0)	(32, 34650648.0)	(33, 39922184.0)	(34, 45867246.0)	(35, 52333175.0)	(36, 59225334.0)	(37, 66310127.0)	(38, 73469416.0)	(39, 80508947.0)	(40, 87188946.0)	(41, 93259208.0)	(42, 98619575.0)	(43, 103077538.0)	(44, 106473737.0)	(45, 108730772.0)	(46, 109861859.0)	(47, 109756630.0)	(48, 108486544.0)	(49, 106081718.0)	(50, 102709835.0)	(51, 98470121.0)	(52, 93504175.0)	(53, 87943687.0)	(54, 81927775.0)	(55, 75701494.0)	(56, 69293927.0)	(57, 62946419.0)	(58, 56668984.0)	(59, 50621346.0)	(60, 44846540.0)	(61, 39471199.0)	(62, 34465221.0)	(63, 29930639.0)	(64, 25750080.0)	(65, 22052098.0)	(66, 18758992.0)	(67, 15854800.0)	(68, 13325083.0)	(69, 11142877.0)	(70, 9278665.0)	(71, 7681105.0)	(72, 6347068.0)	(73, 5232733.0)	(74, 4306681.0)	(75, 3541785.0)	(76, 2908902.0)	(77, 2387289.0)	(78, 1969219.0)	(79, 1624842.0)	(80, 1354945.0)	(81, 1137976.0)	(82, 964974.0)	(83, 826597.0)	(84, 713118.0)
