Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84
P4107_1001	(0, 100.0)	(1, 92.29432810535144)	(2, 92.27242791958349)	(3, 92.25213544301056)	(4, 92.23204468771043)	(5, 92.21025634005906)	(6, 92.18494981479232)	(7, 92.15354454972996)	(8, 92.11056889161584)	(9, 92.0495273961215)	(10, 91.9610844336904)	(11, 91.83390453901812)	(12, 91.65677333759467)	(13, 91.42106971937281)	(14, 91.12072512053764)	(15, 90.75465733241309)	(16, 90.32547986573954)	(17, 89.84348617954704)	(18, 89.3168892344)	(19, 88.75386159502544)	(20, 88.15669715178677)	(21, 87.5217877471945)	(22, 86.83218676325583)	(23, 86.06328800892325)	(24, 85.17806130026678)	(25, 84.13009958974081)	(26, 82.86811837900154)	(27, 81.33914715126109)	(28, 79.48921751905287)	(29, 77.27288335927712)	(30, 74.66018701572433)	(31, 71.63672148867653)	(32, 68.20533018729132)	(33, 64.39081699397713)	(34, 60.24037279027447)	(35, 55.817106545467816)	(36, 51.20076683202205)	(37, 46.47975492695899)	(38, 41.74502446009707)	(39, 37.085747098666744)	(40, 32.588240719687676)	(41, 28.32373898181732)	(42, 24.351747597223593)	(43, 20.71600187854378)	(44, 17.443737808410123)	(45, 14.54735407185797)	(46, 12.024356024429943)	(47, 9.857071535024177)	(48, 8.024531649927304)	(49, 6.496263593464063)	(50, 5.240211027996628)	(51, 4.221139659558693)	(52, 3.4036660874416182)	(53, 2.755529738069692)	(54, 2.2475050129195124)	(55, 1.8528226576418292)	(56, 1.549293686858346)	(57, 1.317244650711716)	(58, 1.1401420455435058)	(59, 1.0056370605087273)	(60, 0.9030601651937189)	(61, 0.8245565776086075)	(62, 0.7637563932421344)	(63, 0.7159491930868443)	(64, 0.6777148392254101)	(65, 0.6465314772349375)	(66, 0.620426868204614)	(67, 0.5979536934352463)	(68, 0.5780709138313042)	(69, 0.560062430158019)	(70, 0.5435987890532397)	(71, 0.5283045961585269)	(72, 0.513981869959352)	(73, 0.500467640816252)	(74, 0.4875361369418554)	(75, 0.47516063196007646)	(76, 0.46338413309129967)	(77, 0.45210057305286744)	(78, 0.44129657253708904)	(79, 0.43097919194970963)	(80, 0.4210710892204875)	(81, 0.41157184523857937)	(82, 0.4024281684482912)	(83, 0.39367420026370653)	(84, 0.38533212132022604)
P4107_1001.AHJHNYCCXX.P4107_1001.2	(0, 100.0)	(1, 92.29532210731463)	(2, 92.27366677899708)	(3, 92.2535335645446)	(4, 92.23355683963317)	(5, 92.21183564643461)	(6, 92.18659295497324)	(7, 92.15521244968993)	(8, 92.1122398865482)	(9, 92.05117469517155)	(10, 91.96270123436678)	(11, 91.83547817127763)	(12, 91.65830531668422)	(13, 91.42258848035115)	(14, 91.12224291433711)	(15, 90.75621490950337)	(16, 90.32707084274011)	(17, 89.84507448068607)	(18, 89.31849884571345)	(19, 88.75547378548254)	(20, 88.15828935388058)	(21, 87.5233443571059)	(22, 86.83367995847271)	(23, 86.06469509298148)	(24, 85.17939581367052)	(25, 84.13131817063743)	(26, 82.86926016589595)	(27, 81.34019557315533)	(28, 79.49017312401494)	(29, 77.2737916047139)	(30, 74.6610850413044)	(31, 71.63760523224863)	(32, 68.20627634613979)	(33, 64.39177308252864)	(34, 60.24135502489475)	(35, 55.81810535108606)	(36, 51.20181477032684)	(37, 46.48082430439539)	(38, 41.74608094181521)	(39, 37.08681131781584)	(40, 32.589300618771155)	(41, 28.324772670353443)	(42, 24.35275227039364)	(43, 20.716956742002065)	(44, 17.44464176602059)	(45, 14.548194421338138)	(46, 12.0251225136838)	(47, 9.85778176670714)	(48, 8.025200486354663)	(49, 6.496846125296993)	(50, 5.240741461127802)	(51, 4.221612384350671)	(52, 3.4040922264513958)	(53, 2.755908549793469)	(54, 2.247847813350059)	(55, 1.8531307363509706)	(56, 1.5495708803222639)	(57, 1.3174983417291117)	(58, 1.1403705576710061)	(59, 1.005847518630669)	(60, 0.9032596297158472)	(61, 0.8247412442940368)	(62, 0.7639223611360921)	(63, 0.7161044897739451)	(64, 0.6778564342118635)	(65, 0.6466588546920136)	(66, 0.6205438646084936)	(67, 0.5980570848563657)	(68, 0.5781634728490883)	(69, 0.5601459944123195)	(70, 0.5436763567985509)	(71, 0.5283780695132918)	(72, 0.5140496369587886)	(73, 0.500530249528386)	(74, 0.48759623098892946)	(75, 0.4752177599919516)	(76, 0.4634402617050099)	(77, 0.45215441267658724)	(78, 0.44134538283068886)	(79, 0.4310234887419198)	(80, 0.42111129162215133)	(81, 0.41160998432532214)	(82, 0.4024596984794277)	(83, 0.39370369921921766)	(84, 0.3853621361044674)
P4107_1002	(0, 100.0)	(1, 92.29794180799979)	(2, 92.27858323934296)	(3, 92.26125848665163)	(4, 92.24439714159583)	(5, 92.22694426994362)	(6, 92.20781240801374)	(7, 92.18605107689211)	(8, 92.15924352225964)	(9, 92.12436137811962)	(10, 92.07669477353262)	(11, 92.00983605177218)	(12, 91.91632906973904)	(13, 91.78680205762623)	(14, 91.61389523558917)	(15, 91.3907962470232)	(16, 91.11339342111954)	(17, 90.78242323234777)	(18, 90.4010479042601)	(19, 89.97606128810547)	(20, 89.51516351397257)	(21, 89.025318624352)	(22, 88.5129411751795)	(23, 87.97904041760509)	(24, 87.41873032517796)	(25, 86.81922682432268)	(26, 86.16240411256912)	(27, 85.42183709004901)	(28, 84.5637161172704)	(29, 83.54998231885801)	(30, 82.33885866147037)	(31, 80.88949570078015)	(32, 79.16363290461786)	(33, 77.1296107365964)	(34, 74.76491872108137)	(35, 72.05904755695842)	(36, 69.0138760858989)	(37, 65.64551873295723)	(38, 61.98302403844512)	(39, 58.069072993314556)	(40, 53.95728525257115)	(41, 49.71163744166296)	(42, 45.40306200750827)	(43, 41.09799511141955)	(44, 36.86774920489281)	(45, 32.775339537580095)	(46, 28.873355880187788)	(47, 25.209438272123293)	(48, 21.818658940413723)	(49, 18.723047318163246)	(50, 15.934603451516617)	(51, 13.456843196859916)	(52, 11.283239289679866)	(53, 9.400523003069665)	(54, 7.789103032897262)	(55, 6.425908649048589)	(56, 5.285316736373714)	(57, 4.341880947780704)	(58, 3.5692843462381467)	(59, 2.942816962405834)	(60, 2.439359610508352)	(61, 2.0379563937470664)	(62, 1.7203548736985794)	(63, 1.4706976369733376)	(64, 1.2755061433285146)	(65, 1.123181048824879)	(66, 1.0045010122089442)	(67, 0.9117500416585701)	(68, 0.8392238773995889)	(69, 0.7820216951444925)	(70, 0.7361717748668383)	(71, 0.6990933609505973)	(72, 0.6683323014937208)	(73, 0.6424618142283391)	(74, 0.6201463540932451)	(75, 0.6004802225560079)	(76, 0.5828462627801795)	(77, 0.5667625617745244)	(78, 0.5518659438736514)	(79, 0.5379602974421789)	(80, 0.5247687514091454)	(81, 0.5122365312112576)	(82, 0.5003307527669619)	(83, 0.4889317438108408)	(84, 0.47791354541482634)
P4107_1002.AHJHNYCCXX.P4107_1002.3	(0, 100.0)	(1, 92.29890634324677)	(2, 92.27975633059344)	(3, 92.26259780371043)	(4, 92.24583849602533)	(5, 92.22846151567505)	(6, 92.20939861359855)	(7, 92.18768731786376)	(8, 92.16090194386669)	(9, 92.1260239908351)	(10, 92.07833833282437)	(11, 92.01145723699277)	(12, 91.91792620444507)	(13, 91.78836098876694)	(14, 91.61545452136212)	(15, 91.39235814417911)	(16, 91.11496631187525)	(17, 90.78400079780134)	(18, 90.40263913917504)	(19, 89.97765139464506)	(20, 89.51676151913958)	(21, 89.02693990629047)	(22, 88.51456252159656)	(23, 87.98063861620788)	(24, 87.42029215785527)	(25, 86.82076615397163)	(26, 86.163872225614)	(27, 85.4232282478952)	(28, 84.56501519968823)	(29, 83.55123020527438)	(30, 82.33999400050565)	(31, 80.89054857169718)	(32, 79.16461343055546)	(33, 77.13052533317443)	(34, 74.76579195464309)	(35, 72.05989812629531)	(36, 69.0147539619192)	(37, 65.64640534582664)	(38, 61.98389427375235)	(39, 58.069985365381186)	(40, 53.95822012766613)	(41, 49.7126458545913)	(42, 45.40411742532965)	(43, 41.09909057044612)	(44, 36.86883512108787)	(45, 32.77643067654105)	(46, 28.874434316866264)	(47, 25.210490240340047)	(48, 21.81969636870814)	(49, 18.72402897247621)	(50, 15.935521078588435)	(51, 13.457687866405701)	(52, 11.284026541040113)	(53, 9.401265989876999)	(54, 7.7898012393229505)	(55, 6.426523323459272)	(56, 5.285878183707295)	(57, 4.342379206094829)	(58, 3.569728958364326)	(59, 2.9432152144248818)	(60, 2.439718498347423)	(61, 2.0382803019503672)	(62, 1.7206556663269061)	(63, 1.4709728638402213)	(64, 1.2757545471014253)	(65, 1.123403145332547)	(66, 1.0046972528015086)	(67, 0.911924778640942)	(68, 0.8393848482027224)	(69, 0.7821646441813628)	(70, 0.7363083082838762)	(71, 0.6992193843572563)	(72, 0.6684465253181754)	(73, 0.6425706863297174)	(74, 0.6202409764259503)	(75, 0.6005671396970549)	(76, 0.5829280538732197)	(77, 0.5668380017263234)	(78, 0.5519393205105294)	(79, 0.538027742048659)	(80, 0.5248315213177576)	(81, 0.5122965607797403)	(82, 0.5003861398768725)	(83, 0.48898574463103883)	(84, 0.4779686423710761)
P4107_1003	(0, 100.0)	(1, 92.29751163907807)	(2, 92.2786147693741)	(3, 92.26133447467146)	(4, 92.24459025497671)	(5, 92.22753318515709)	(6, 92.20895561343715)	(7, 92.18759298568472)	(8, 92.16104418363905)	(9, 92.12617561224249)	(10, 92.07815353718176)	(11, 92.01073652753873)	(12, 91.91602427943805)	(13, 91.78609795140945)	(14, 91.61234081794986)	(15, 91.38893239662434)	(16, 91.11230202424422)	(17, 90.78254267893811)	(18, 90.40333728112213)	(19, 89.98073102112183)	(20, 89.52353815460465)	(21, 89.03874925700151)	(22, 88.53062868442538)	(23, 88.00063210555305)	(24, 87.4441426275737)	(25, 86.84858134778935)	(26, 86.19434235766703)	(27, 85.45577758884197)	(28, 84.59931210389449)	(29, 83.58729230763484)	(30, 82.37846792457299)	(31, 80.9345529534959)	(32, 79.2164847807978)	(33, 77.19425361932817)	(34, 74.84320965827243)	(35, 72.15456162858096)	(36, 69.12939444703066)	(37, 65.78264947966476)	(38, 62.14505970551359)	(39, 58.25798191870001)	(40, 54.175804391277)	(41, 49.95887086366335)	(42, 45.67489407656102)	(43, 41.39180200020966)	(44, 37.177094273567036)	(45, 33.09320877273958)	(46, 29.195635773383863)	(47, 25.529025023518734)	(48, 22.131031311187897)	(49, 19.023815122232296)	(50, 16.220900002951474)	(51, 13.725383730545651)	(52, 11.530744295506732)	(53, 9.623858079997602)	(54, 7.987822569381922)	(55, 6.60059134044672)	(56, 5.436952909368806)	(57, 4.471813626950552)	(58, 3.679594868270011)	(59, 3.035557165031464)	(60, 2.516818773871891)	(61, 2.102368572079224)	(62, 1.7737225786087756)	(63, 1.5147643373305195)	(64, 1.3113945403640703)	(65, 1.1526405434381535)	(66, 1.0287077583834976)	(67, 0.9319859382676635)	(68, 0.8559512359427084)	(69, 0.7959139945075698)	(70, 0.7478620658590721)	(71, 0.7090705847296728)	(72, 0.6770595755415151)	(73, 0.6500649040371461)	(74, 0.6269595166802664)	(75, 0.606762017072281)	(76, 0.5887774871956568)	(77, 0.5723725860875345)	(78, 0.5571779803770556)	(79, 0.5429208611445093)	(80, 0.5295541267789649)	(81, 0.5168113517412484)	(82, 0.5046747399401662)	(83, 0.4930423507229028)	(84, 0.4818298460920625)
P4107_1003.AHJHNYCCXX.P4107_1003.4	(0, 100.0)	(1, 92.29849019841865)	(2, 92.27982367848203)	(3, 92.26269555325482)	(4, 92.24605791667146)	(5, 92.22908063910853)	(6, 92.21058195694503)	(7, 92.18925440554625)	(8, 92.16273532813118)	(9, 92.12785224905159)	(10, 92.07982356493524)	(11, 92.01238269821343)	(12, 91.91763669557022)	(13, 91.78768248055088)	(14, 91.61391835116414)	(15, 91.39051534604029)	(16, 91.11391302184738)	(17, 90.78417534134795)	(18, 90.40502710380314)	(19, 89.98243677001487)	(20, 89.52525505829398)	(21, 89.04047135121745)	(22, 88.53233278911436)	(23, 88.0022839181045)	(24, 87.4457762571624)	(25, 86.85014743605367)	(26, 86.19583542392672)	(27, 85.45716152508592)	(28, 84.60057562636923)	(29, 83.58847561874204)	(30, 82.37956915443348)	(31, 80.93555604694045)	(32, 79.21740053799047)	(33, 77.19512504748933)	(34, 74.84403388810478)	(35, 72.15538943697513)	(36, 69.13022754266932)	(37, 65.78353573790191)	(38, 62.14599732094871)	(39, 58.25893939354124)	(40, 54.176813062119706)	(41, 49.95991835061801)	(42, 45.675972545478785)	(43, 41.392919510914446)	(44, 37.17827439298396)	(45, 33.09442554823565)	(46, 29.196854160844712)	(47, 25.530211010487466)	(48, 22.13216810099148)	(49, 19.024917609425316)	(50, 16.221940010389545)	(51, 13.726360420007083)	(52, 11.53163448693796)	(53, 9.624692916558214)	(54, 7.988604114386841)	(55, 6.601305859956003)	(56, 5.437612815511273)	(57, 4.472404702196826)	(58, 3.6801193693707877)	(59, 3.03602073386348)	(60, 2.517218250984173)	(61, 2.1027119850563873)	(62, 1.774019276846556)	(63, 1.5150324393130667)	(64, 1.3116283397360557)	(65, 1.1528550959506416)	(66, 1.0289142833113714)	(67, 0.9321778587946119)	(68, 0.8561316470411131)	(69, 0.7960843469457347)	(70, 0.7480197804933458)	(71, 0.7092163708245595)	(72, 0.6771987848200911)	(73, 0.6501946994413951)	(74, 0.627078221766815)	(75, 0.6068709536522505)	(76, 0.5888769131834124)	(77, 0.5724607605611115)	(78, 0.5572533880895589)	(79, 0.5429901756301366)	(80, 0.5296164453374381)	(81, 0.5168683830552365)	(82, 0.5047265484882606)	(83, 0.49309251506691953)	(84, 0.4818765930707413)
P4107_1004	(0, 100.0)	(1, 92.29608730699667)	(2, 92.27930704376939)	(3, 92.26399260459702)	(4, 92.24868790169194)	(5, 92.2323784611382)	(6, 92.21372986624998)	(7, 92.19116039270453)	(8, 92.16275941088502)	(9, 92.12545967420421)	(10, 92.0764160970611)	(11, 92.01233756319952)	(12, 91.92947783422676)	(13, 91.82428717025698)	(14, 91.69466582596513)	(15, 91.53736179136065)	(16, 91.35086123807744)	(17, 91.13436034375728)	(18, 90.88611950824671)	(19, 90.60626633467788)	(20, 90.29501018503667)	(21, 89.95100964671006)	(22, 89.57342208122792)	(23, 89.15994292701994)	(24, 88.70690038622705)	(25, 88.20858010817554)	(26, 87.65783402847525)	(27, 87.04739750544304)	(28, 86.36558482606664)	(29, 85.60239652145299)	(30, 84.74393690711297)	(31, 83.77799573669424)	(32, 82.6911795172159)	(33, 81.4721957261153)	(34, 80.11053374046702)	(35, 78.59647960258016)	(36, 76.92395427086876)	(37, 75.08877234325485)	(38, 73.0917496673539)	(39, 70.93463854560189)	(40, 68.6248196166677)	(41, 66.17119637458907)	(42, 63.58727553675325)	(43, 60.887636260716924)	(44, 58.09178676994729)	(45, 55.21763441344719)	(46, 52.28844093915739)	(47, 49.3250120732374)	(48, 46.35043327915942)	(49, 43.38676455287987)	(50, 40.45506563396865)	(51, 37.57616462265648)	(52, 34.770053621998805)	(53, 32.05114040545671)	(54, 29.435310885957094)	(55, 26.932737077103294)	(56, 24.55551142286136)	(57, 22.30938360817302)	(58, 20.198831477766984)	(59, 18.228249376596235)	(60, 16.397007800174105)	(61, 14.705432752258105)	(62, 13.149179020581798)	(63, 11.72614540905181)	(64, 10.431626108879962)	(65, 9.257776396736622)	(66, 8.199904101055665)	(67, 7.250193546112833)	(68, 6.401349688569161)	(69, 5.645994178745756)	(70, 4.9756249340748715)	(71, 4.382904387586597)	(72, 3.8609478376968847)	(73, 3.4032008744055244)	(74, 3.002683271095486)	(75, 2.6531833859578096)	(76, 2.34952600605979)	(77, 2.0856912811622346)	(78, 1.8573461854524558)	(79, 1.6600317664289956)	(80, 1.4900302207578773)	(81, 1.3436599175948323)	(82, 1.217798416678478)	(83, 1.1096223616930905)	(84, 1.0167582634543135)
P4107_1004.AHJHNYCCXX.P4107_1004.5	(0, 100.0)	(1, 92.29702221433095)	(2, 92.28044312430848)	(3, 92.26528020982562)	(4, 92.25008418558613)	(5, 92.2338508297701)	(6, 92.21524927201422)	(7, 92.19272338599647)	(8, 92.16434613229856)	(9, 92.12706048418994)	(10, 92.07802345162385)	(11, 92.01393405311964)	(12, 91.93107258322492)	(13, 91.8258733113632)	(14, 91.69624693774124)	(15, 91.5389484482956)	(16, 91.35245679305798)	(17, 91.13596679561975)	(18, 90.887740661228)	(19, 90.60788826140227)	(20, 90.29663307893992)	(21, 89.95266258763685)	(22, 89.57508356556805)	(23, 89.16159628705758)	(24, 88.70854784647358)	(25, 88.21020155131048)	(26, 87.65941575279797)	(27, 87.04895076246771)	(28, 86.3670907880446)	(29, 85.60383871410417)	(30, 84.74532732345536)	(31, 83.7793065219764)	(32, 82.69247234521038)	(33, 81.47344848066531)	(34, 80.11173604051935)	(35, 78.59761974527049)	(36, 76.92510269905807)	(37, 75.08989485105046)	(38, 73.09282807179308)	(39, 70.9357129846077)	(40, 68.62589012247943)	(41, 66.17224615053372)	(42, 63.58835806782227)	(43, 60.8887257877131)	(44, 58.09291166345078)	(45, 55.2187562442176)	(46, 52.28955290470333)	(47, 49.3260969900143)	(48, 46.35153392871259)	(49, 43.38785765843786)	(50, 40.456148100559076)	(51, 37.57724831434014)	(52, 34.771143213473565)	(53, 32.05221075007198)	(54, 29.43636298313103)	(55, 26.933753549855545)	(56, 24.556507165746517)	(57, 22.310348659248728)	(58, 20.19973269503732)	(59, 18.22912657559132)	(60, 16.39784637649301)	(61, 14.706232028875625)	(62, 13.149931969331485)	(63, 11.726856865828006)	(64, 10.432291108831143)	(65, 9.258391941608288)	(66, 8.200465999739386)	(67, 7.2506976075001734)	(68, 6.401801296622495)	(69, 5.646397363377037)	(70, 4.976013224151567)	(71, 4.383250605382481)	(72, 3.861263234726137)	(73, 3.4034986687793567)	(74, 3.002960335602221)	(75, 2.6534397528367437)	(76, 2.349764899240487)	(77, 2.0859100247831557)	(78, 1.8575499055616087)	(79, 1.6602197860011716)	(80, 1.4902060538763011)	(81, 1.3438220490126087)	(82, 1.2179511342219276)	(83, 1.1097637954830657)	(84, 1.0168929592315)
P4107_1005	(0, 100.0)	(1, 92.29828148121867)	(2, 92.28082474085097)	(3, 92.26532508692515)	(4, 92.25021285261502)	(5, 92.2346776709854)	(6, 92.21815119549342)	(7, 92.1994655254152)	(8, 92.17723749824988)	(9, 92.14920775191968)	(10, 92.11250283024343)	(11, 92.06353169479763)	(12, 91.99779689936182)	(13, 91.9103716347762)	(14, 91.79636500645633)	(15, 91.65113049367869)	(16, 91.4707391579622)	(17, 91.25292986406775)	(18, 90.99675413191765)	(19, 90.70356111155584)	(20, 90.37547037547421)	(21, 90.01481820870994)	(22, 89.62499957029048)	(23, 89.20794382086345)	(24, 88.7644513331824)	(25, 88.2942582286125)	(26, 87.79259963597599)	(27, 87.25160201001292)	(28, 86.66015988055398)	(29, 86.00329986793537)	(30, 85.26307080995146)	(31, 84.42037192335336)	(32, 83.45175327943168)	(33, 82.33470369328751)	(34, 81.04770407986665)	(35, 79.56902421896777)	(36, 77.8818743045321)	(37, 75.97251182096412)	(38, 73.83474185864928)	(39, 71.46615040360862)	(40, 68.87061555295406)	(41, 66.05970366982537)	(42, 63.05307592090825)	(43, 59.87363639139762)	(44, 56.550486300614295)	(45, 53.11781967717214)	(46, 49.61239554028549)	(47, 46.07048055064565)	(48, 42.53197821940655)	(49, 39.034467088677694)	(50, 35.61445297024546)	(51, 32.30316490918225)	(52, 29.12858268091001)	(53, 26.114090929564473)	(54, 23.278879709004144)	(55, 20.637607001863568)	(56, 18.197076137744595)	(57, 15.963137742823598)	(58, 13.933861295838327)	(59, 12.106950939828325)	(60, 10.47499982557735)	(61, 9.029247375845214)	(62, 7.756764085593848)	(63, 6.645689730503697)	(64, 5.680791275623878)	(65, 4.850665875522089)	(66, 4.139759585298641)	(67, 3.535020068199077)	(68, 3.023905722390477)	(69, 2.5943478965069695)	(70, 2.235141210802051)	(71, 1.9360384696349515)	(72, 1.6884209486662984)	(73, 1.4838162254803364)	(74, 1.3151397793386375)	(75, 1.176313020005351)	(76, 1.0621454208823427)	(77, 0.9683824910811061)	(78, 0.8914262607295604)	(79, 0.8279547605656037)	(80, 0.7755854099235097)	(81, 0.7319126737590558)	(82, 0.6952292879322989)	(83, 0.6641198184074346)	(84, 0.6374788119762428)
P4107_1005.AHJHNYCCXX.P4107_1005.6	(0, 100.0)	(1, 92.29921345477705)	(2, 92.281990803935)	(3, 92.26662320216411)	(4, 92.25161232819949)	(5, 92.23616316101064)	(6, 92.21969436161855)	(7, 92.20105659913365)	(8, 92.17885139738965)	(9, 92.15082855026871)	(10, 92.11413726581452)	(11, 92.06515723232313)	(12, 91.99940064312347)	(13, 91.91196219266592)	(14, 91.79794386148173)	(15, 91.65270844600383)	(16, 91.47231146841058)	(17, 91.2544847975358)	(18, 90.99832176766817)	(19, 90.70512529770173)	(20, 90.3770351741667)	(21, 90.01637249739207)	(22, 89.62658251970645)	(23, 89.20953728028978)	(24, 88.7660471460773)	(25, 88.29584633631576)	(26, 87.79417297808185)	(27, 87.25314498270228)	(28, 86.66165784718662)	(29, 86.00473338821602)	(30, 85.26442350631794)	(31, 84.42165749750633)	(32, 83.45296918446677)	(33, 82.3358566994568)	(34, 81.04879360686282)	(35, 79.57006590284921)	(36, 77.88288120221355)	(37, 75.97349814997494)	(38, 73.83570636165696)	(39, 71.46710413869157)	(40, 68.87155239464607)	(41, 66.06064218796075)	(42, 63.054031010041605)	(43, 59.87460537566739)	(44, 56.55145815418138)	(45, 53.1188198690801)	(46, 49.61341636534265)	(47, 46.07154741341699)	(48, 42.53307097033228)	(49, 39.03554120529055)	(50, 35.61554133662699)	(51, 32.30424860086591)	(52, 29.12964125818237)	(53, 26.11513251672803)	(54, 23.279889991811636)	(55, 20.638596232411004)	(56, 18.198033386910755)	(57, 15.964045988260384)	(58, 13.934697776603016)	(59, 12.107729647775226)	(60, 10.475733108356696)	(61, 9.02991224683921)	(62, 7.757388592989702)	(63, 6.6462541438524765)	(64, 5.681311424419743)	(65, 4.851146982530934)	(66, 4.140202875613699)	(67, 3.5354261866062613)	(68, 3.024278602083856)	(69, 2.594687311811474)	(70, 2.235448805921758)	(71, 1.936311181836775)	(72, 1.6886777668953712)	(73, 1.4840527651924513)	(74, 1.3153531389971869)	(75, 1.1765087770084808)	(76, 1.0623241232980785)	(77, 0.9685431717305788)	(78, 0.8915786558800535)	(79, 0.8280924223579891)	(80, 0.7757086607507436)	(81, 0.7320261883190062)	(82, 0.6953386436231117)	(83, 0.6642285615516302)	(84, 0.6375796564930066)
